model_id,output,output_label,input,N_base,S1_mean,S1_std,S1_ci_lo,S1_ci_hi,n_repeats
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_slope,256,0.07230401414753386,0.057430519374065146,-0.016039110186355676,0.17766108834594194,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_T_ref,256,0.04632428847272378,0.05817941820517584,-0.051991000127239305,0.11165503442672932,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_k_ref,256,0.07384311801006663,0.07596988632524236,-0.022477933313312742,0.18534291607450845,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_alpha,256,0.02648859387721264,0.06520443610436635,-0.06637007011898688,0.12097436195453128,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_slope,512,0.030623735189360873,0.043133029158856306,-0.02321054624358458,0.08832984485751293,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_intercept,512,0.5457581313127378,0.027582402898045748,0.5089541498573983,0.5769150189366208,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,nu,512,0.06477075777359989,0.04780337178363107,0.0031687769816791506,0.15444454321021875,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_base,512,0.19314819001543,0.042111780424586194,0.13578701125647746,0.26088891033552547,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_slope,512,0.02426013261332512,0.049160293957775464,-0.04401619210545197,0.09014150498190156,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_T_ref,512,0.00882729691728119,0.04191603335000897,-0.058661277175149115,0.06214134540261583,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_k_ref,512,0.056925966362540326,0.037738290649892654,0.008247458931412939,0.10861904944900708,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_alpha,512,-0.001567615385429727,0.042482096096471335,-0.055294322456698186,0.06400560145178065,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_slope,1024,0.050900448192655524,0.041664826940484775,-0.01870240081839525,0.11545562045056304,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_intercept,1024,0.5588097295199403,0.02039787069305562,0.5247081959173215,0.5861499272705621,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,nu,1024,0.06393500044763756,0.04131438822085118,0.0026200208433000307,0.12444570036802105,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_base,1024,0.21002919314112822,0.03872930956032973,0.13427200526808641,0.2586037354325931,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_slope,1024,0.0477374130721653,0.05192501768891112,-0.03565505751396698,0.11291041746996366,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_T_ref,1024,0.039062802015217904,0.05302313085108015,-0.044544760189392185,0.1009606771280393,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_k_ref,1024,0.069328897144602,0.04752783487558208,-0.006691811224322284,0.15089026701709174,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_alpha,1024,0.016129247972137162,0.05304294268794756,-0.06144303263514671,0.09134319779067579,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_slope,2048,0.039289739121941336,0.030558710147279393,-0.007352519338587714,0.09631722410694406,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_intercept,2048,0.5530697282531875,0.025465729163490422,0.5127176980449871,0.5801376642426554,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,nu,2048,0.057861455675323456,0.031156228630051172,0.01746171024538904,0.09799339855655118,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_base,2048,0.20817588586814062,0.02603520970587094,0.17895921798188763,0.24819863846069365,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_slope,2048,0.05325645341246373,0.037415223203589844,0.013141853500160419,0.10820271865991027,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_T_ref,2048,0.020093504505139703,0.04099510250130511,-0.03777613399826547,0.07800243098943392,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_k_ref,2048,0.06831094845022208,0.0331566524142792,0.007792757779253501,0.12082540268377716,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_alpha,2048,0.0038318813489114202,0.03298498535445191,-0.03491232767472597,0.0509507463194908,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_slope,4096,0.03677007504746367,0.04150757906348255,-0.046433837199640636,0.1003758047890692,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_intercept,4096,0.5478346410745776,0.022885291249686576,0.4979777998065168,0.5716767621059458,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,nu,4096,0.06308112952280542,0.02362522032472508,0.033927468709734974,0.09693616277076007,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_base,4096,0.21011296032958576,0.025857759448205828,0.1712731562661845,0.2544866819179366,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_slope,4096,0.037779490985422146,0.03974872367282927,-0.012677814750771264,0.0908608303857161,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_T_ref,4096,0.019245653338863532,0.03223453648208945,-0.025054926929182805,0.05526858316269373,20
