output,input,level,S1_raw_mean,S1_raw_std,S1_ci_low,S1_ci_high,S1_plot,ST_mean,ST_std,ST_ci_low,ST_ci_high
iteration2_keff,E_intercept,0,0.003758406639099121,0.008434424347147496,0.0014205034878001389,0.006096309790398103,0.003758406639099121,0.005792325362563133,0.00010250411402540998,0.005763912671745394,0.005820738053380872
iteration2_keff,nu,0,0.03451890110969544,0.008416739827794296,0.03218589985707067,0.03685190236232021,0.03451890110969544,0.0449985933303833,0.0006953428655590296,0.0448058541214326,0.045191332539334
iteration2_keff,alpha_base,0,0.40092910766601564,0.006245668166535758,0.39919789677508505,0.40266031855694623,0.40092910766601564,0.4214746069908142,0.004845653826667875,0.4201314602762074,0.42281775370542096
iteration2_keff,alpha_slope,0,0.05984533429145813,0.00877167601971301,0.05741394974586121,0.062276718837055045,0.05984533429145813,0.061124574467539786,0.0008146467050735748,0.06089876592144369,0.06135038301363588
iteration2_keff,SS316_T_ref,0,0.11555357217788696,0.007866293942738212,0.11337314674031795,0.11773399761545597,0.11555357217788696,0.12076528385281562,0.0015365664984080317,0.12033936934923442,0.12119119835639683
iteration2_keff,SS316_k_ref,0,0.33519638657569883,0.004910277197045898,0.3338353271767124,0.3365574459746853,0.33519638657569883,0.34663148105144503,0.0038983578970456555,0.3455509113720837,0.34771205073080635
iteration2_keff,SS316_alpha,0,0.02338709115982056,0.008374550060692262,0.021065784313998286,0.02570839800564283,0.02338709115982056,0.030160843208432198,0.0005194528674334688,0.030016858219565148,0.03030482819729925
iteration2_avg_fuel_temp,E_slope,0,0.00115256667137146,0.008021396937796103,-0.0010708511229959557,0.0033759844657388757,0.00115256667137146,0.007719019120559096,0.00012851594621466857,0.007683396317711969,0.0077546419234062235
iteration2_avg_fuel_temp,E_intercept,0,0.0016153705120086669,0.008114888935449852,-0.0006339619419655843,0.003864702965982918,0.0016153705120086669,0.0036279774829745294,7.400636973240139e-05,0.0036074639638661275,0.0036484910020829313
iteration2_avg_fuel_temp,nu,0,0.01842254161834717,0.008292972931177233,0.016123846799181062,0.020721236437513276,0.01842254161834717,0.02895281311124563,0.0005832148835373051,0.028791154193222677,0.029114472029268586
iteration2_avg_fuel_temp,alpha_base,0,0.21956999659538268,0.007575744928599611,0.21747010723565413,0.22166988595511122,0.21956999659538268,0.23372572988271714,0.002916856381904169,0.2329172185431796,0.2345342412222547
iteration2_avg_fuel_temp,alpha_slope,0,0.03626758694648743,0.007675938271738583,0.03413992540895247,0.038395248484022385,0.03626758694648743,0.03974700026214123,0.0005804086370474926,0.039586119195959946,0.039907881328322514
iteration2_avg_fuel_temp,SS316_T_ref,0,0.1583698546886444,0.007163126550781785,0.15638433730809076,0.16035537206919803,0.1583698546886444,0.16743021011352538,0.0022775080006066277,0.16679891710376263,0.16806150312328813
iteration2_avg_fuel_temp,SS316_k_ref,0,0.49887181639671324,0.005678219426036933,0.4972978942719166,0.5004457385215099,0.49887181639671324,0.529705195426941,0.004750179173387186,0.5283885129360425,0.5310218779178394
iteration2_avg_fuel_temp,SS316_alpha,0,0.02544029712677002,0.007823372704757806,0.023271768849386695,0.027608825404153343,0.02544029712677002,0.03764009483158588,0.0006977676766247595,0.037446683499298895,0.03783350616387287
iteration2_max_fuel_temp,E_slope,0,0.0011936450004577637,0.009095341597586563,-0.0013274550661199619,0.0037147450670354893,0.0011936450004577637,0.007690198086202145,0.00015132560702086075,0.0076482527679486295,0.00773214340445566
iteration2_max_fuel_temp,E_intercept,0,0.0010516929626464843,0.008823907311223384,-0.0013941693583139389,0.0034975552836069073,0.0010516929626464843,0.0028812549309805034,4.820551479611837e-05,0.002867893043990557,0.0028946168179704496
