output,input,S1,ST,level
iteration2_avg_fuel_temp,SS316_alpha,0.02544029712677002,0.03764009483158588,0
iteration2_max_fuel_temp,E_slope,0.0011936450004577637,0.007690198086202145,0
iteration2_max_fuel_temp,E_intercept,0.0010516929626464843,0.0028812549309805034,0
iteration2_max_fuel_temp,nu,0.01206762671470642,0.023527315892279146,0
iteration2_max_fuel_temp,alpha_base,0.22737448334693908,0.24313434839248657,0
iteration2_max_fuel_temp,alpha_slope,0.04376530170440674,0.048011062815785405,0
iteration2_max_fuel_temp,SS316_T_ref,0.16176312327384948,0.16882209837436676,0
iteration2_max_fuel_temp,SS316_k_ref,0.48969054460525513,0.5206378793716431,0
iteration2_max_fuel_temp,SS316_alpha,0.02273634672164917,0.0333040738850832,0
iteration2_max_monolith_temp,E_slope,0.00018197059631347656,0.00732909350655973,0
iteration2_max_monolith_temp,E_intercept,0.00035497426986694333,0.0031079156510531902,0
iteration2_max_monolith_temp,nu,0.011031092405319213,0.02336658541113138,0
iteration2_max_monolith_temp,alpha_base,0.20527461051940918,0.22082348972558974,0
iteration2_max_monolith_temp,alpha_slope,0.039514890909194945,0.04386065497994423,0
iteration2_max_monolith_temp,SS316_T_ref,0.17513256192207335,0.1804592552781105,0
iteration2_max_monolith_temp,SS316_k_ref,0.5041086566448212,0.5294885587692261,0
iteration2_max_monolith_temp,SS316_alpha,0.024831087589263917,0.03453930124640465,0
iteration2_max_global_stress,E_slope,0.027134404182434083,0.0413136713206768,0
iteration2_max_global_stress,E_intercept,0.06495591640472412,0.07445143684744834,0
iteration2_max_global_stress,nu,0.10141212344169617,0.15456897437572478,0
iteration2_max_global_stress,alpha_base,0.2752173280715942,0.5643319857120513,0
iteration2_max_global_stress,alpha_slope,0.013761312961578369,0.09517675027251243,0
iteration2_max_global_stress,SS316_T_ref,0.01405074715614319,0.09939612865447998,0
iteration2_max_global_stress,SS316_k_ref,0.10659091591835022,0.35143777310848234,0
iteration2_max_global_stress,SS316_alpha,0.0053677594661712645,0.030907747000455857,0
iteration2_wall2,E_slope,0.0009892117977142335,0.005075564347207546,0
iteration2_wall2,E_intercept,0.00286085844039917,0.0048605749662965535,0
iteration2_wall2,nu,0.0370402979850769,0.04850568361580372,0
iteration2_wall2,alpha_base,0.4130346918106079,0.43629743456840514,0
iteration2_wall2,alpha_slope,0.06504587173461913,0.07033632650971412,0
iteration2_wall2,SS316_T_ref,0.09100778102874756,0.1011215752363205,0
iteration2_wall2,SS316_k_ref,0.31936617612838747,0.35735300064086917,0
iteration2_wall2,SS316_alpha,0.022827755212783813,0.03285315848886967,0
iteration1_avg_fuel_temp,E_slope,0.0,0.0013609328493475914,2
iteration1_avg_fuel_temp,E_intercept,0.003962332010269165,0.01263154523447156,2
iteration1_avg_fuel_temp,nu,0.0016282546520233155,0.00765806051902473,2
iteration1_avg_fuel_temp,alpha_base,0.006178094148635864,0.021273560747504236,2
iteration1_avg_fuel_temp,alpha_slope,0.0006487560272216797,0.005866035250946879,2
iteration1_avg_fuel_temp,SS316_T_ref,0.205111585855484,0.23550193905830383,2
iteration1_avg_fuel_temp,SS316_k_ref,0.7112267005443573,0.7523986840248108,2
iteration1_avg_fuel_temp,SS316_alpha,0.01301093578338623,0.021408211067318918,2
iteration1_max_fuel_temp,E_slope,0.0,0.0018732304964214563,2
iteration1_max_fuel_temp,E_intercept,0.00904821753501892,0.018397635109722615,2
iteration1_max_fuel_temp,nu,0.003621639013290405,0.011965670604258776,2
iteration1_max_fuel_temp,alpha_base,0.006886457204818726,0.04175635054707527,2
iteration1_max_fuel_temp,alpha_slope,0.0,0.005350317694246769,2
iteration1_max_fuel_temp,SS316_T_ref,0.20480469822883607,0.22811120241880417,2
iteration1_max_fuel_temp,SS316_k_ref,0.6887268340587616,0.7274988436698914,2
iteration1_max_fuel_temp,SS316_alpha,0.015677186250686644,0.024153287410736083,2
iteration1_max_monolith_temp,E_slope,0.0,0.001801107688806951,2
iteration1_max_monolith_temp,E_intercept,0.012991859912872314,0.020477232038974762,2
iteration1_max_monolith_temp,nu,0.003887124061584473,0.009384887758642435,2
iteration1_max_monolith_temp,alpha_base,0.010169234275817871,0.03960170991718769,2
iteration1_max_monolith_temp,alpha_slope,0.00039951086044311525,0.005355130881071091,2
iteration1_max_monolith_temp,SS316_T_ref,0.21366349697113038,0.25132506519556047,2
iteration1_max_monolith_temp,SS316_k_ref,0.6691411447525024,0.7206876051425933,2
iteration1_max_monolith_temp,SS316_alpha,0.016669566631317138,0.024853923916816713,2
iteration1_max_global_stress,E_slope,0.013295048475265503,0.014019684605300427,2
iteration1_max_global_stress,E_intercept,0.13578980088233947,0.13840993344783784,2
iteration1_max_global_stress,nu,0.03301348090171814,0.036726460009813305,2
iteration1_max_global_stress,alpha_base,0.07687678575515747,0.08466082468628883,2
iteration1_max_global_stress,alpha_slope,0.011736505031585694,0.015110129341483116,2
iteration1_max_global_stress,SS316_T_ref,0.1347597897052765,0.14486380368471147,2
iteration1_max_global_stress,SS316_k_ref,0.5560392951965332,0.5731530308723449,2
iteration1_max_global_stress,SS316_alpha,0.013701308965682984,0.019203505516052245,2
iteration1_wall2,E_slope,0.038101104497909544,0.03978424213826656,2
iteration1_wall2,E_intercept,0.08747943162918091,0.09149858951568604,2
iteration1_wall2,nu,0.060017917156219486,0.06341212004423141,2
iteration1_wall2,alpha_base,0.43067785024642946,0.45140732228755953,2
iteration1_wall2,alpha_slope,0.05603944778442383,0.061357113495469094,2
iteration1_wall2,SS316_T_ref,0.038763983249664305,0.07147576525807381,2
iteration1_wall2,SS316_k_ref,0.2334224784374237,0.27375650107860566,2
iteration1_wall2,SS316_alpha,0.002572388648986816,0.0055879602022469044,2
iteration1_keff,E_slope,0.0,0.030510732606053352,2
iteration1_keff,E_intercept,0.000684671401977539,0.1236966858804226,2
iteration1_keff,nu,0.041814756393432614,0.1005158093571663,2
iteration1_keff,alpha_base,0.05160948395729065,0.25594681829214094,2
iteration1_keff,alpha_slope,0.053602672815322876,0.1318593829870224,2
iteration1_keff,SS316_T_ref,0.19501630783081056,0.4222294849157333,2
iteration1_keff,SS316_k_ref,0.17220319628715516,0.5052224767208099,2
iteration1_keff,SS316_alpha,0.02187648057937622,0.06332977004349231,2
iteration2_keff,E_slope,0.023355385065078737,0.0269148600474,2
iteration2_keff,E_intercept,0.012182799577713012,0.04041930310428143,2
iteration2_keff,nu,0.00011015772819519044,0.03120489675551653,2
iteration2_keff,alpha_base,0.5524618554115296,0.5793411350250244,2
iteration2_keff,alpha_slope,0.0605858039855957,0.07874111190438271,2
iteration2_keff,SS316_T_ref,0.009866267442703247,0.13604916900396347,2
iteration2_keff,SS316_k_ref,0.147155179977417,0.2946255326271057,2
iteration2_keff,SS316_alpha,0.0058712542057037355,0.01405510824173689,2
iteration2_avg_fuel_temp,E_slope,0.0,0.0011783193494193257,2
iteration2_avg_fuel_temp,E_intercept,0.0037723326683044432,0.01580784784629941,2
iteration2_avg_fuel_temp,nu,0.0018399345874786377,0.0064380597695708275,2
iteration2_avg_fuel_temp,alpha_base,0.018389875888824462,0.03844964362680912,2
iteration2_avg_fuel_temp,alpha_slope,0.00030728697776794434,0.004578747050836682,2
iteration2_avg_fuel_temp,SS316_T_ref,0.19317291259765626,0.2377280956506729,2
iteration2_avg_fuel_temp,SS316_k_ref,0.6949953532218933,0.754703917503357,2
iteration2_avg_fuel_temp,SS316_alpha,0.009737833738327026,0.01872309949249029,2
iteration2_max_fuel_temp,E_slope,0.001121823787689209,0.0012282469728961587,2
iteration2_max_fuel_temp,E_intercept,0.012806328535079957,0.016593836285173892,2
iteration2_max_fuel_temp,nu,0.005849064588546753,0.009323941357433797,2
iteration2_max_fuel_temp,alpha_base,0.02575818657875061,0.04410958290100098,2
iteration2_max_fuel_temp,alpha_slope,0.002835819721221924,0.006185528906062245,2
iteration2_max_fuel_temp,SS316_T_ref,0.1975661301612854,0.23090689927339553,2
