case_id,true_stress,param,true_val,prior_mean,prior_std,post_mean,post_std,contraction,in_90ci
2026_01_26_10_03_52_49,237.87,alpha_slope,4.6731530380873285e-09,4.980847359599641e-09,5.120519784474225e-10,5.337686582398017e-09,4.242835575444512e-10,0.1714052959410317,True
2026_01_26_10_03_52_49,237.87,nu,0.3493396295439041,0.30984843316836863,0.030187336074286225,0.3308296325214249,0.02844774175327646,0.057626625838361534,True
2026_03_07_18_22_15_38,236.04,E_intercept,225629619402.0247,199962913259.04697,19856455540.189907,232177108870.0885,8600399756.014406,0.5668713513040127,True
2026_03_07_18_22_15_38,236.04,alpha_base,1.0515040236602992e-05,1.0018430562895206e-05,1.015915167442249e-06,1.0875139540482103e-05,8.911575582319709e-07,0.1228031761002033,True
2026_03_07_18_22_15_38,236.04,alpha_slope,5.371677776589546e-09,4.980847359599641e-09,5.120519784474225e-10,5.1701861474493786e-09,3.921014346118008e-10,0.23425462430458743,True
2026_03_07_18_22_15_38,236.04,nu,0.338748423477457,0.30984843316836863,0.030187336074286225,0.3162601015526148,0.02499986714931606,0.17184255385121194,True
2026_01_04_10_51_49_18,232.96,E_intercept,229246247706.022,199962913259.04697,19856455540.189907,239906718384.42276,10017384163.560045,0.49550995426728417,True
2026_01_04_10_51_49_18,232.96,alpha_base,9.318065165953964e-06,1.0018430562895206e-05,1.015915167442249e-06,1.0750695590653296e-05,7.298832450688096e-07,0.2815509912048826,False
2026_01_04_10_51_49_18,232.96,alpha_slope,5.575892710477116e-09,4.980847359599641e-09,5.120519784474225e-10,5.145879398223453e-09,4.6259640565998244e-10,0.09658311044396861,True
2026_01_04_10_51_49_18,232.96,nu,0.3129509125131485,0.30984843316836863,0.030187336074286225,0.33355923381536884,0.028972622030482544,0.04023919304487367,True
2025_12_28_15_05_17_40,225.69,E_intercept,229592542921.80136,199962913259.04697,19856455540.189907,234279313343.57697,7432581470.651521,0.6256843797923648,True
2025_12_28_15_05_17_40,225.69,alpha_base,1.2318981029470678e-05,1.0018430562895206e-05,1.015915167442249e-06,1.1260225460470403e-05,7.800766221637495e-07,0.23214393567158353,True
2025_12_28_15_05_17_40,225.69,alpha_slope,4.414537848818887e-09,4.980847359599641e-09,5.120519784474225e-10,5.192940084735566e-09,4.164295502637272e-10,0.18674359676068275,False
2025_12_28_15_05_17_40,225.69,nu,0.3398227767665391,0.30984843316836863,0.030187336074286225,0.32955528673239337,0.028031190441649617,0.07142550198303943,True
2026_01_26_10_04_00_5,220.5,E_intercept,209103368572.23257,199962913259.04697,19856455540.189907,224393389203.10635,11031707672.482056,0.44442714611610146,True
