iteration2_max_global_stress,iteration2_keff
156.53,1.1039915
155.70651,1.1034472
163.6472,1.103229
155.58286,1.104119
159.36125,1.1025503
153.84152,1.1038375
164.26537,1.103377
150.85614,1.1047279
164.68587,1.1037582
165.48209,1.1032205
165.0168,1.1029187
161.31747,1.1039494
160.84521,1.1038982
162.44415,1.1025978
165.6265,1.1036856
158.99924,1.1039562
160.9588,1.1029928
165.09737,1.1025295
162.95172,1.1023365
152.19116,1.1044394
153.36665,1.1041347
161.45631,1.1024864
165.12238,1.1030643
154.83607,1.1037797
161.25507,1.1027358
163.63176,1.1028622
161.5458,1.1037232
164.37083,1.1031868
150.13452,1.1043805
161.77411,1.1036189
161.67436,1.1034595
154.82906,1.1040921
153.55067,1.1046106
158.96059,1.1023332
157.92526,1.1030755
158.45819,1.1033759
152.98927,1.104441
166.34346,1.1031141
165.04866,1.1026226
155.86917,1.1020218
165.41322,1.1026102
151.77248,1.1039959
161.9539,1.1028545
164.09932,1.1022352
162.97798,1.103416
159.44199,1.1037561
163.91933,1.1030198
164.28096,1.1035187
159.45305,1.1035149
160.65805,1.1036301
158.73074,1.1039172
159.05147,1.1036134
162.76248,1.1036369
157.79614,1.1026169
159.51144,1.1037124
163.88672,1.103554
159.6033,1.1039373
162.1277,1.1030859
157.88719,1.1038102
162.07893,1.1028191
161.13765,1.1031402
161.32632,1.1038601
161.16084,1.1032039
162.78156,1.1026545
159.08437,1.1040659
149.56213,1.1045543
153.4827,1.1021763
157.26245,1.1040087
156.05144,1.1040859
141.02693,1.1050017
160.87787,1.103835
156.46129,1.1039577
154.49564,1.1041286
151.28526,1.1042182
160.66957,1.103426
159.79503,1.1037977
163.05658,1.1032372
161.39714,1.103449
167.20152,1.1028609
151.61684,1.10464
154.67874,1.1039629
157.41702,1.1040546
160.41893,1.1015428
161.87053,1.1029665
160.4177,1.1037219
162.27715,1.1030422
164.15079,1.1021011
159.63715,1.1029392
163.75629,1.1032525
159.18448,1.1040611
157.69249,1.1040843
161.66397,1.1030419
150.76912,1.1045879
