case_i,label,output,y_true,y_hf
2,post_mean,iteration2_monolith_new_temperature,949.8828239370044,950.2438345517969
2,post_mean,iteration2_Hcore_after,152.64701511700918,152.17788612319947
2,post_mean,iteration2_wall2,29.96706322851205,29.905586641086085
3,post_hi_95,iteration1_avg_fuel_temp,1006.64,1005.78
3,post_hi_95,iteration1_max_fuel_temp,1086.62,1085.06
3,post_hi_95,iteration1_max_monolith_temp,1049.32,1047.54
3,post_hi_95,iteration1_max_global_stress,124.8,178.01
3,post_hi_95,iteration1_monolith_new_temperature,952.2779602916836,952.0211190357759
3,post_hi_95,iteration1_Hcore_after,152.00276449754045,152.567440480861
3,post_hi_95,iteration1_wall2,29.87171130195122,29.943690770430425
3,post_hi_95,iteration2_keff,1.104479856105843,1.1029379404628286
3,post_hi_95,iteration2_avg_fuel_temp,996.84,997.23
3,post_hi_95,iteration2_max_fuel_temp,1066.82,1067.21
3,post_hi_95,iteration2_max_monolith_temp,1028.11,1028.99
3,post_hi_95,iteration2_max_global_stress,103.67,151.6
3,post_hi_95,iteration2_monolith_new_temperature,949.6839368534584,949.7972416407174
3,post_hi_95,iteration2_Hcore_after,151.9955434882807,152.55963779090234
3,post_hi_95,iteration2_wall2,29.869895785926577,29.941676907187684
3,post_lo_5,iteration1_avg_fuel_temp,1006.64,1021.27
3,post_lo_5,iteration1_max_fuel_temp,1086.62,1112.47
3,post_lo_5,iteration1_max_monolith_temp,1049.32,1078.92
3,post_lo_5,iteration1_max_global_stress,124.8,105.19
3,post_lo_5,iteration1_monolith_new_temperature,952.2779602916836,957.0763285178764
3,post_lo_5,iteration1_Hcore_after,152.00276449754045,151.80680055284742
3,post_lo_5,iteration1_wall2,29.87171130195122,29.85098569597619
3,post_lo_5,iteration2_keff,1.104479856105843,1.1059363456118145
3,post_lo_5,iteration2_avg_fuel_temp,996.84,1004.07
3,post_lo_5,iteration2_max_fuel_temp,1066.82,1081.11
3,post_lo_5,iteration2_max_monolith_temp,1028.11,1044.04
3,post_lo_5,iteration2_max_global_stress,103.67,82.82
3,post_lo_5,iteration2_monolith_new_temperature,949.6839368534584,951.6000571042164
3,post_lo_5,iteration2_Hcore_after,151.9955434882807,151.79340693822016
3,post_lo_5,iteration2_wall2,29.869895785926577,29.847910977863744
3,post_mean,iteration1_avg_fuel_temp,1006.64,1011.62
3,post_mean,iteration1_max_fuel_temp,1086.62,1095.58
3,post_mean,iteration1_max_monolith_temp,1049.32,1059.53
3,post_mean,iteration1_max_global_stress,124.8,136.77
3,post_mean,iteration1_monolith_new_temperature,952.2779602916836,953.8270597311963
3,post_mean,iteration1_Hcore_after,152.00276449754045,152.16849533334465
3,post_mean,iteration1_wall2,29.87171130195122,29.895126083836313
3,post_mean,iteration2_keff,1.104479856105843,1.104240702276102
3,post_mean,iteration2_avg_fuel_temp,996.84,1000.11
3,post_mean,iteration2_max_fuel_temp,1066.82,1073.0
3,post_mean,iteration2_max_monolith_temp,1028.11,1035.17
3,post_mean,iteration2_max_global_stress,103.67,113.1
3,post_mean,iteration2_monolith_new_temperature,949.6839368534584,950.5288395302625
3,post_mean,iteration2_Hcore_after,151.9955434882807,152.1587693476845
3,post_mean,iteration2_wall2,29.869895785926577,29.89275736257764
4,post_hi_95,iteration1_avg_fuel_temp,1009.08,1003.77
