case_i,label,category,row_idx,stress_true_MPa,archived_dir,y_true__iteration2_keff,y_hf__iteration2_keff,abs_err__iteration2_keff,rel_err__iteration2_keff,y_true__iteration2_max_fuel_temp,y_hf__iteration2_max_fuel_temp,abs_err__iteration2_max_fuel_temp,rel_err__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_hf__iteration2_max_monolith_temp,abs_err__iteration2_max_monolith_temp,rel_err__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_hf__iteration2_max_global_stress,abs_err__iteration2_max_global_stress,rel_err__iteration2_max_global_stress,y_true__iteration2_wall2,y_hf__iteration2_wall2,abs_err__iteration2_wall2,rel_err__iteration2_wall2
3,post_lo_5,low,433,103.67,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case003_post_lo_5,1.104479856105843,1.1059363456118145,0.0014564895059714367,0.001318710792161211,1066.82,1081.11,14.289999999999964,0.01339494947601279,1028.11,1044.04,15.930000000000064,0.015494450982871546,103.67,82.82,20.85000000000001,0.2011189350824733,29.869895785926577,29.847910977863744,0.02198480806283243,0.0007360189074777667
3,post_mean,low,433,103.67,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case003_post_mean,1.104479856105843,1.104240702276102,0.0002391538297410456,0.00021653073020657003,1066.82,1073.0,6.180000000000064,0.005792917268142765,1028.11,1035.17,7.060000000000173,0.006866969487700901,103.67,113.1,9.429999999999993,0.09096170541140149,29.869895785926577,29.89275736257764,0.022861576651063586,0.0007653718250277588
4,post_hi_95,low,64,114.5,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case004_post_hi_95,1.103865111455786,1.1024592813500103,0.0014058301057757738,0.0012735524396832816,1067.69,1063.33,4.360000000000127,0.004083582313218375,1029.25,1024.56,4.690000000000055,0.0045567160553801845,114.5,160.3,45.80000000000001,0.4000000000000001,29.89815565438472,29.952879178096374,0.054723523711654565,0.0018303310861126337
4,post_lo_5,low,64,114.5,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case004_post_lo_5,1.103865111455786,1.1050751165911559,0.0012100051353698404,0.0010961530741505872,1067.69,1074.36,6.669999999999845,0.0062471316580653986,1029.25,1036.44,7.190000000000055,0.006985669176584945,114.5,89.92,24.58,0.21467248908296943,29.89815565438472,29.861427127987195,0.036728526397524774,0.0012284545850285032
4,post_mean,low,64,114.5,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case004_post_mean,1.103865111455786,1.1034708974334235,0.0003942140223625046,0.000357121552507998,1067.69,1067.93,0.2400000000000091,0.00022478434751660976,1029.25,1029.5,0.25,0.00024289531212047608,114.5,121.89,7.390000000000001,0.06454148471615721,29.89815565438472,29.90683758196623,0.008681927581509541,0.0002903833829039649
5,post_hi_95,low,10,102.0,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case005_post_hi_95,1.1044254697634508,1.1025567445888111,0.0018687251746396516,0.001692033754925899,1073.45,1064.74,8.710000000000036,0.008114024873072835,1035.66,1026.1,9.560000000000173,0.009230828650329424,102.0,145.66,43.66,0.42803921568627445,29.86956996923706,29.94494812781664,0.07537815857958208,0.0025235769600036
5,post_lo_5,low,10,102.0,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case005_post_lo_5,1.1044254697634508,1.1052622102651346,0.0008367405016838081,0.0007576251404841503,1073.45,1076.45,3.0,0.002794727281196143,1035.66,1038.86,3.199999999999818,0.0030898171214489485,102.0,77.2,24.799999999999997,0.24313725490196075,29.86956996923706,29.856796997366335,0.012772971870724348,0.0004276248999861514
5,post_mean,low,10,102.0,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case005_post_mean,1.1044254697634508,1.1039720942621345,0.0004533755013162999,0.00041050800957479297,1073.45,1069.8,3.650000000000091,0.0034002515254553923,1035.66,1031.58,4.080000000000155,0.003939516829847782,102.0,108.43,6.430000000000007,0.06303921568627457,29.86956996923706,29.902309936697403,0.03273996746034413,0.0010960977173110735
6,post_hi_95,near,203,127.6,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case006_post_hi_95,1.103888355286264,1.1028743663593819,0.0010139889268820923,0.0009185611226228955,1072.76,1065.3,7.460000000000036,0.006954025131436702,1035.12,1026.71,8.409999999999854,0.008124661874951557,127.6,175.63,48.03,0.37641065830721004,29.906494274993484,29.941266669071204,0.03477239407772004,0.0011627037846022362
6,post_lo_5,near,203,127.6,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case006_post_lo_5,1.103888355286264,1.1057174356663992,0.001829080380135295,0.0016569432691053,1072.76,1076.59,3.8299999999999272,0.003570230060777739,1035.12,1038.99,3.8700000000001182,0.003738696962671109,127.6,99.68,27.919999999999987,0.218808777429467,29.906494274993484,29.855980652186567,0.050513622806917624,0.0016890519611706856
