model_id,output,output_label,n_seeds,is_primary,MAE_mean,MAE_std,MAE_ci_lo,MAE_ci_hi,RMSE_mean,RMSE_std,RMSE_ci_lo,RMSE_ci_hi,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,PICP_mean,PICP_std,PICP_ci_lo,PICP_ci_hi,MPIW_mean,MPIW_std,MPIW_ci_lo,MPIW_ci_hi,CRPS_mean,CRPS_std,CRPS_ci_lo,CRPS_ci_hi
bnn-baseline,iteration2_max_monolith_temp,Max. monolith temp.,5,True,3.8443736175306698,0.21975865032535674,3.6348577275050777,4.053889507556262,4.834128619560618,0.23476160045850378,4.610309053909506,5.057948185211729,0.6167507860532705,0.045951364185732195,0.5729411751414359,0.660560396965105,0.9477124183006536,0.01010198093191256,0.9380812819479427,0.9573435546533644,18.956960027578262,0.231521244806886,18.736229787409187,19.177690267747337,2.7308116325674527,0.12413653083724985,2.612460997884588,2.8491622672503176
bnn-baseline,iteration2_max_global_stress,Max. global stress,5,True,5.917878495592041,0.4037326698360544,5.532963455715911,6.3027935354681714,7.580556259081287,0.4566633235217047,7.1451776174303605,8.015934900732214,0.935547430739215,0.006619133577685212,0.929236809242979,0.9418580522354509,0.9947712418300652,0.0019486431176469017,0.9929134232798894,0.9966290603802409,45.44381406757496,0.901502017179097,44.58433027838393,46.303297856765994,4.7468075165880945,0.17347921031701052,4.581414021967094,4.9122010112090955
bnn-baseline,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,5,False,0.5015380754023144,0.02639322117111524,0.4763750194037381,0.5267011314008907,0.6433250589401701,0.02681986452716519,0.6177552450627392,0.6688948728176011,0.6193970951760008,0.04742255218257257,0.5741848670652682,0.6646093232867335,0.9477124183006536,0.010218770718569588,0.9379699356320588,0.9574549009692483,2.4977944358737774,0.021573369840631646,2.4772265821109367,2.518362289636618,0.35690432334494354,0.014895065990777253,0.34270350347538536,0.3711051432145017
bnn-baseline,iteration2_Hcore_after,iteration2_Hcore_after,5,False,0.04939650471572636,0.029941174336045557,0.020850862575403434,0.07794214685604929,0.46914690763642264,0.504047442963593,-0.011407320701298684,0.949701135974144,0.353841951626373,0.37610700587558094,-0.004735032552485974,0.712418935805232,0.9978213507625272,0.001540537649643915,0.9963526162380604,0.999290085286994,0.9177589147513485,0.01852950515924281,0.9000930537742046,0.9354247757284925,0.09033882471296814,0.030248296213631946,0.06150037537969251,0.11917727404624377
bnn-baseline,iteration2_wall2,Wall expansion,5,True,0.00117341578403902,8.89044540352985e-05,0.0010886550895823175,0.0012581764784957226,0.0016008807016888802,0.00010206613258739272,0.0015035717831145372,0.0016981896202632233,0.9950875735652588,0.0005983632270067862,0.9945170995298599,0.9956580476006577,1.0,0.0,1.0,1.0,0.025756690822955376,0.0005404469043402108,0.025241433680600465,0.026271947965310287,0.00194265442247712,4.981810871419185e-05,0.001895158292649273,0.001990150552304967
bnn-data-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,5,False,2.972703535033835,0.12686346014080638,2.851753070859728,3.0936539992079424,3.919147545312756,0.1833220542136074,3.744369973221652,4.09392511740386,0.8280542358451755,0.03258920381725291,0.7969839865835958,0.8591244851067551,0.9694989106753813,0.009743215588234435,0.9602098179245026,0.97878800342626,17.841310307170126,0.6506159671996266,17.22101898652871,18.461601627811543,2.2051495800166245,0.08089437130712547,2.1280256252718157,2.2822735347614334
bnn-data-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,5,False,5.251130868728668,0.2393477552502864,5.0229389049873205,5.479322832470016,6.797111728295373,0.33481311976098166,6.47790395797502,7.116319498615725,0.8277394951396031,0.03365080008663526,0.7956571296910238,0.8598218605881824,0.9677559912854029,0.009294435297473454,0.9588947615647417,0.9766172210060641,30.755529474884575,0.843334830057275,29.951501750617815,31.559557199151335,3.858735323335631,0.1550819319016697,3.7108816259218482,4.006589020749414
bnn-data-mono,iteration1_max_monolith_temp,iteration1_max_monolith_temp,5,False,6.0140460286897905,0.25241063776961653,5.773400032066073,6.254692025313508,7.845719611622245,0.37693778983460463,7.486350565604928,8.205088657639562,0.8274714717652294,0.03325904568986975,0.7957626013803859,0.8591803421500729,0.9664488017429195,0.007640818264379154,0.9591641153980813,0.9737334880877576,35.89766817101339,1.1700966542119382,34.78210870811977,37.013227633907015,4.455310429337489,0.1614131930593722,4.301420565363361,4.609200293311617
bnn-data-mono,iteration1_max_global_stress,iteration1_max_global_stress,5,False,8.358123959153563,0.30619466754982094,8.066200759780925,8.6500471585262,11.028856154215227,0.42413984676524136,10.62448509824645,11.433227210184004,0.9304096635064105,0.006652710059646735,0.9240670304989477,0.9367522965138734,0.996078431372549,0.003231459035771574,0.9929975878428016,0.9991592749022965,68.37828467178886,0.8468165343062066,67.57093752249177,69.18563182108595,6.922300234869728,0.1645113105091409,6.765456654016055,7.079143815723401
bnn-data-mono,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,5,False,0.9955834999135437,0.03724629710625558,0.9600732204464043,1.031093779380683,1.3386514128435192,0.06356954842633342,1.2780447859947037,1.3992580396923346,0.8279445646935819,0.03166631758282435,0.7977541867386033,0.8581349426485605,0.9694989106753813,0.010561394024872198,0.9594297740759528,0.9795680472748098,6.09171115935401,0.24472842825213173,5.858389311117789,6.325033007590231,0.7425466203201181,0.025180453517488998,0.7185398059255358,0.7665534347147004
