model_id,output,output_label,CRPS,NLL,IS_90,IS_95,ECE,sharpness_mean_sigma,is_primary
bnn-phy-mono,iteration2_max_global_stress,Max. global stress,4.954260111213144,3.6634761875958604,42.630501421432555,50.053111661504964,0.10624521072796934,12.626836482188818,True
bnn-phy-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.3723696701348744,1.0144875704976675,2.933369435560936,3.4063731288252357,0.035862068965517226,0.737776181398257,False
bnn-phy-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.07801449320752339,2.1022265879991795,1.2376962305081163,1.9187562190051806,0.19436781609195397,0.2065153945865326,False
bnn-phy-mono,iteration2_wall2,Wall expansion,0.0017079391732308887,-4.108836993984476,0.02133150867034036,0.025418060333586415,0.19398467432950195,0.0064843182155592686,True
bnn-data-mono-ineq,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,2.476469082301635,2.9741022770495853,22.085381096217432,25.91885092454788,0.12157088122605363,6.588663109674728,False
bnn-data-mono-ineq,iteration1_max_fuel_temp,iteration1_max_fuel_temp,4.323008748519459,3.5222806991603712,37.38980916245174,43.897985420869766,0.11352490421455937,11.14862321367753,False
bnn-data-mono-ineq,iteration1_max_monolith_temp,iteration1_max_monolith_temp,4.9829770996124,3.669223852716389,43.92763057283001,51.52184671406236,0.11735632183908044,13.108358100683434,False
bnn-data-mono-ineq,iteration1_max_global_stress,iteration1_max_global_stress,8.194801155990048,4.270375426347551,86.18146490474032,102.61120725672464,0.16448275862068965,26.17680938683281,False
bnn-data-mono-ineq,iteration1_monolith_new_temperature,iteration1_monolith_new_temperature,0.828028412149008,1.8747690022715353,7.496488867320525,8.784379072593923,0.1257854406130268,2.2256156013811585,False
bnn-data-mono-ineq,iteration1_Hcore_after,iteration1_Hcore_after,0.09094189624250888,-0.07549967799685378,1.2431511329757516,1.4813059399628405,0.19666666666666668,0.3778911121957321,False
bnn-data-mono-ineq,iteration1_wall2,iteration1_wall2,0.003494290908147472,-3.3586646802187956,0.04477847965975081,0.053356849495617815,0.19206896551724137,0.013611691315883858,False
bnn-data-mono-ineq,iteration2_keff,$k_{\mathrm{eff}}$,0.0002469287410841553,-6.074520502290679,0.002900977681198334,0.003456728113638396,0.18517241379310345,0.0008818346002540423,True
bnn-data-mono-ineq,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,1.4020830939626534,2.3594953375339136,11.133525406485138,12.750079116474751,0.0629501915708812,3.0676315613629828,False
