model_id,output,output_label,nominal_alpha,empirical_coverage,coverage_error,interval_score,MPIW_alpha,is_primary
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.95,1.0,0.050000000000000044,0.001999887988859563,0.00199988798885956,True
bnn-data-mono,iteration2_keff,$k_{\mathrm{eff}}$,0.99,1.0,0.010000000000000009,0.002628298339231363,0.002628298339231374,True
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.5,0.5747126436781609,0.07471264367816088,6.15730843928525,3.701152773437539,False
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.68,0.7494252873563219,0.06942528735632181,7.588381959789064,5.456925848670941,False
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.8,0.8482758620689655,0.0482758620689655,8.992485054971798,7.032305724052459,False
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.9,0.9195402298850575,0.019540229885057436,10.827601225559208,9.025866681473557,False
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.95,0.9540229885057471,0.004022988505747116,12.54559022152905,10.754983504359044,False
bnn-data-mono,iteration2_avg_fuel_temp,iteration2_avg_fuel_temp,0.99,0.9908045977011494,0.0008045977011493788,16.045898465418297,14.134444249093765,False
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,0.5,0.5839080459770115,0.08390804597701151,11.50444030464339,6.940036631133156,True
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,0.68,0.7586206896551724,0.07862068965517233,14.104819767125287,10.232289127578975,True
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,0.8,0.8574712643678161,0.05747126436781602,16.653670604256874,13.186286088083593,True
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,0.9,0.9333333333333333,0.033333333333333326,20.082080175908825,16.92441496787294,True
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,0.95,0.9563218390804598,0.006321839080459801,23.22528977378873,20.166684289057553,True
bnn-data-mono,iteration2_max_fuel_temp,Max. fuel temp.,0.99,0.9885057471264368,-0.0014942528735631955,29.418440315828924,26.50351575687951,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,0.5,0.5839080459770115,0.08390804597701151,12.8944637890916,7.88041339595114,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,0.68,0.7517241379310344,0.07172413793103438,15.832442468097177,11.618766960175641,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,0.8,0.8597701149425288,0.05977011494252871,18.688047640506507,14.973031275544049,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,0.9,0.9287356321839081,0.028735632183908066,22.48351174598131,19.21767758878317,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,0.95,0.967816091954023,0.017816091954023006,26.03449641730694,22.89927524452534,True
bnn-data-mono,iteration2_max_monolith_temp,Max. monolith temp.,0.99,0.9908045977011494,0.0008045977011493788,32.88773411082859,30.09474902097359,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,0.5,0.7862068965517242,0.28620689655172415,24.384896396239075,20.763462396456728,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,0.68,0.9195402298850575,0.2395402298850574,32.49404307842232,30.613347136680666,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,0.8,0.9747126436781609,0.17471264367816086,40.33795506446594,39.4512262529859,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,0.9,0.993103448275862,0.09310344827586203,50.97963077804114,50.635100712729496,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,0.95,1.0,0.050000000000000044,60.33544391086186,60.33544391086185,True
bnn-data-mono,iteration2_max_global_stress,Max. global stress,0.99,1.0,0.010000000000000009,79.29421443154737,79.29421443154737,True
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.5,0.5862068965517241,0.08620689655172409,1.6894971530603158,1.0449456586053913,False
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.68,0.7655172413793103,0.08551724137931027,2.0814379274023036,1.540652689568441,False
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.8,0.8666666666666667,0.06666666666666665,2.478698427996411,1.9854293476001177,False
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.9,0.9310344827586207,0.03103448275862064,3.0148822675449933,2.548270979691839,False
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.95,0.9586206896551724,0.008620689655172487,3.5201359931411673,3.036452156719448,False
bnn-data-mono,iteration2_monolith_new_temperature,iteration2_monolith_new_temperature,0.99,0.9885057471264368,-0.0014942528735631955,4.608051360337035,3.990574574735189,False
