E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha
-77288859.0253434,212259203768.69147,0.32954190896191893,8.773549717107996e-06,4.642148243608656e-09,837.3289753831019,24.605014326712716,0.012091300384255436
-77130525.168711,221787113308.18134,0.3245849137306116,8.727024248145444e-06,4.701506375446715e-09,849.0022825087807,25.826986660799616,0.012136403180734263
-76265202.0426406,216660612115.23447,0.3246767115662899,8.783872314892115e-06,4.679047479713479e-09,879.7080733179481,25.92282185057015,0.012660400161936978
-75950561.13599013,221641176574.27524,0.33653112767939525,8.658730956850075e-06,4.719618440584793e-09,848.1500655052636,27.803590840553912,0.0118224616536089
-74483511.02136165,225607797247.14743,0.3466229943662088,8.65917653419014e-06,4.955811576048547e-09,852.930588607926,28.173432246277148,0.01218553889634803
-73754174.6003297,228345681424.1496,0.3720762795996835,8.47108933472324e-06,4.648739173342534e-09,931.4584672885829,27.987602310236486,0.011919603696255056
-73179800.6062439,224341333886.63412,0.37935495594170804,8.629637510347833e-06,4.4504721626558535e-09,943.6436620125744,28.489568394578928,0.011663929319278295
-70352978.31967819,217152396492.91882,0.33487590008010687,8.263054616864647e-06,4.6493612770094225e-09,923.1575245428958,28.22809087140796,0.011512536758788623
-68276586.13593946,222608706626.71823,0.35334602861087355,8.507908984926618e-06,4.275394217177198e-09,938.1938511295291,27.541137646166593,0.011780582385630326
-68182287.05304919,215997238646.04214,0.3390334427768615,8.324772262441872e-06,4.253217243798298e-09,907.77232173776,27.498233498510338,0.011663533432169814
-68843467.34788553,208229170487.9981,0.31821855456253645,8.872276670151767e-06,4.709433853917819e-09,878.9692421680031,26.734776757982463,0.011232373372076273
-66308664.21906002,213701249554.76874,0.3206205425270892,8.403264098839432e-06,4.990514950065624e-09,896.3778647026323,26.285214505809297,0.010210555682696042
-70749036.3934553,211700434575.23734,0.3235730856765564,8.182996074372037e-06,5.468124771285368e-09,843.366648580059,26.050207841136768,0.011152950916180399
-71484465.76466714,213965517343.78735,0.3219617193080225,7.785086117440672e-06,5.516972654216037e-09,803.0621320062052,26.09152023121607,0.010653130427251554
-72784012.59041959,206304391111.48816,0.3102768183798947,8.03055062009392e-06,5.716819994057159e-09,806.3930705822391,25.56075965906576,0.010883411814984917
-71843621.36820571,204981718241.33615,0.2994476983956293,8.211096534273623e-06,5.75767273976626e-09,802.8782095800901,26.25426527277327,0.011458675597588444
-67621063.13620007,201602620587.5319,0.30042193167262654,7.956716339198272e-06,5.6626585749355295e-09,748.3658151262593,25.965290742515627,0.012275484659310717
-69788195.71127723,196960151145.26328,0.30735171104377795,8.027099450982324e-06,5.632643380045788e-09,739.4782065711877,26.38626991439087,0.012022613578550095
-68971615.36934961,208199095276.53583,0.3010545949740426,8.246794991595207e-06,5.470267006820603e-09,820.917226268948,24.411576970458462,0.012045158067869374
-70026328.93163656,213654386200.23676,0.31430174475114736,7.871338774494627e-06,5.4711435223103e-09,820.374735957219,24.183519612007224,0.012715455831131076
-69202596.29012662,207650768729.085,0.3236189789643832,7.926331025474315e-06,5.434441448626655e-09,772.7025878029657,25.877471539380313,0.0123542833284165
-70457532.89322005,211681709731.6671,0.3165545638098188,7.465200474061548e-06,5.353853433917736e-09,781.8269396034017,26.23227457234148,0.012703952263819788
-72287062.94856879,208171259191.8194,0.33484376087735207,7.91447052511883e-06,5.4090241195076015e-09,756.3086537250181,26.805929289283135,0.013586963307942016
-75457883.20229432,222015076194.02945,0.3303919317176031,8.015401602486401e-06,5.430141721192466e-09,710.7548595915281,26.135262062900797,0.012628639948007055
