E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
-72821172.11194499,210080249407.3331,0.3023561219256422,1.0005779451709582e-05,5.2260733670441485e-09,682.0991264477448,22.260329614764306,0.0124304541431032,1.1133589146381158,1012.57,1097.29,1061.48,208.24,954.134775955946,152.37006790314757,29.924134706177817,1.1034307217232642,1001.24,1075.19,1037.64,173.96,950.8060674559882,152.35931835724563,29.92153120959371
-66884732.19855013,183022835800.4621,0.3278541931151372,1.1627794301648186e-05,4.772024279584305e-09,977.6838889316822,24.27219154867086,0.014410672723956,1.113358914638129,1012.64,1097.4,1061.61,198.0,954.15544604976,152.5207815481388,29.95419175704144,1.102770687457255,998.64,1069.91,1031.88,156.66,950.1529591430968,152.50748520200708,29.95075012692282
-62607013.96923093,206694991093.0344,0.3154732394232264,9.017094812246204e-06,4.234364077500935e-09,971.7263584471472,21.609756610763263,0.014222825631792,1.113358914638142,1029.21,1126.1,1094.7,235.92,959.8297360934704,152.06627432614135,29.891750329711147,1.104505278175428,1006.66,1085.06,1048.77,177.13,952.3972438275216,152.04577796220676,29.886967233096005
-74015886.14782889,166894942955.98108,0.3060578814635013,9.340532144464163e-06,5.226859249050358e-09,878.2528276131311,19.380493598338703,0.0140506226381491,1.113358914638133,1020.91,1111.86,1078.21,152.32,956.9553447254294,152.28384008677912,29.913680946055525,1.1036732626889971,1001.35,1075.64,1037.97,114.78,950.854449135698,152.26473167613506,29.90920700254889
-68088805.0126896,189916264363.41263,0.2860317208474628,9.403978632086754e-06,5.141959226978115e-09,906.3430587965988,25.827540473374484,0.0128418135122267,1.1133589146381246,1009.0,1090.9,1054.18,163.82,953.0008512632004,152.26531037314217,29.90613906442308,1.104004172334663,998.79,1070.55,1032.41,137.22,950.1676609760002,152.25649947091176,29.903967216308544
-68520951.30554424,172843731003.57492,0.3631403514085028,9.746582189076268e-06,5.025194401360053e-09,999.761225275452,23.1232767170072,0.0146358189433314,1.113358914638124,1019.71,1109.77,1075.8,185.49,956.5457485457956,152.30445773017115,29.93047194570036,1.1036214988095314,1001.63,1076.12,1038.63,142.4,950.9216766541612,152.28687727352977,29.926132386017574
-62422975.0539788,193115703274.8441,0.236862232791445,9.522606605917906e-06,4.89733964861757e-09,960.0487622979824,21.794140727634435,0.0119404051120174,1.1133589146381104,1007.87,1088.85,1051.85,159.63,952.651214829448,152.23738689796411,29.89298644647501,1.1040346391024851,996.79,1066.87,1028.19,129.93,949.685387990321,152.2283523085792,29.89078615054065
-74279145.82730356,219222622382.42395,0.2347733212087019,8.807972506910246e-06,4.617841185654208e-09,947.0316588706484,23.860594556010383,0.0115462821678559,1.1133589146381322,1013.68,1099.21,1063.66,179.05,954.5423163039266,152.09062661356845,29.875221464757484,1.1045527341303798,1002.05,1076.74,1039.29,149.6,951.0418078566006,152.08065383488213,29.872952121202577
-70149340.34312312,193637672707.97345,0.2912412684236581,8.9587176495734e-06,4.3752200985665234e-09,842.3477937470301,21.89767489748553,0.0113697083781645,1.1133589146381282,1014.15,1100.04,1064.62,165.21,954.696259481915,152.06905926350453,29.88516216340125,1.1044710277341676,1002.18,1076.91,1039.5,137.39,951.0965370910592,152.05901088320948,29.8827420265054
-77968361.44346237,190688279973.03317,0.234680602083936,1.2191297099421988e-05,4.599681313067287e-09,861.5969185276971,22.633283885969963,0.0117333979845824,1.1133589146381278,1006.98,1087.25,1050.03,159.71,952.3814405402494,152.5645516986305,29.937273524427567,1.10314838875784,997.16,1067.49,1029.05,133.35,949.7770173066764,152.55583188481708,29.935064267973903
