level,base_output,input,iter1_rank,iter2_rank,iter1_ST_mean,iter2_ST_mean,iter1_ST_ci_low,iter1_ST_ci_high,iter2_ST_ci_low,iter2_ST_ci_high,iter1_stable,iter2_stable,ST_shift,rank_shift
0,max_monolith_temp,alpha_base,7,5,0.0062365097692236,0.012510952912271,0.0058415532943033,0.0066314662441438,0.0120263364844465,0.0129955693400954,True,True,0.0062744431430474005,-2
0,max_monolith_temp,alpha_slope,8,8,0.0056623874232172,0.0045499307918362,0.0053167002386976,0.0060080746077369,0.0042935150785658,0.0048063465051066,True,True,-0.001112456631381,0
0,max_monolith_temp,nu,5,6,0.0165382551494985,0.0080112881259992,0.0158595395622304,0.0172169707367667,0.0076984967467155,0.008324079505283,True,True,-0.008526967023499298,1
0,max_global_stress,E_intercept,1,1,0.527619355916977,0.7460913896560669,0.5108023458841642,0.5444363659497897,0.7226454098528137,0.7695373694593202,True,True,0.21847203373908997,0
0,max_global_stress,E_slope,7,4,0.0256685060448944,0.0491155540570616,0.0247218921854703,0.0266151199043185,0.0479559433514662,0.050275164762657,True,True,0.023447048012167196,-3
0,max_global_stress,SS316_T_ref,4,7,0.0723925672471523,0.0113704064860939,0.0695152959052708,0.0752698385890338,0.011002250434669,0.0117385625375189,True,True,-0.0610221607610584,3
0,max_global_stress,SS316_alpha,5,8,0.0389669394120574,0.0026613718364387,0.0372361350748903,0.0406977437492244,0.002538746429604,0.0027839972432734,True,True,-0.0363055675756187,3
0,max_global_stress,SS316_k_ref,2,5,0.2646289467811584,0.0351711691357195,0.2559070901944383,0.2733508033678785,0.0338884783518564,0.0364538599195826,True,True,-0.2294577776454389,3
0,max_global_stress,alpha_base,3,2,0.0993253670632839,0.1216646797955036,0.0964805856864922,0.1021701484400755,0.1189507387026835,0.1243786208883237,True,True,0.0223393127322197,-1
0,max_global_stress,alpha_slope,8,6,0.0175440124701708,0.0162811193149536,0.0168055801296027,0.0182824448107389,0.0155673570029241,0.0169948816269832,True,True,-0.0012628931552171978,-2
0,max_global_stress,nu,6,3,0.026082937605679,0.0584863452240824,0.0250173388030931,0.0271485364082649,0.0569937708315883,0.0599789196165766,True,True,0.0324034076184034,-3
0,wall2,E_intercept,7,5,0.00301960632205,0.0039603348239324,0.0029132278014681,0.003125984842632,0.0037548881004137,0.0041657815474512,True,True,0.0009407285018823998,-2
0,wall2,E_slope,8,8,0.000622114771977,0.0011184439004864,0.0005928030279481,0.0006514265160059,0.0010634009837261,0.0011734868172467,True,True,0.0004963291285094001,0
0,wall2,SS316_T_ref,6,7,0.0041940089897252,0.0015719298447947,0.0040535652687232,0.0043344527107273,0.0014927138734829,0.0016511458161066,True,True,-0.0026220791449305,1
0,wall2,SS316_alpha,5,4,0.0052253718022257,0.0041711738682352,0.0050307147986061,0.0054200288058452,0.0039793754450207,0.0043629722914496,True,True,-0.0010541979339905002,-1
0,wall2,SS316_k_ref,4,6,0.0119094558991491,0.0035527668544091,0.0113582425286776,0.0124606692696207,0.0033902957286342,0.003715237980184,True,True,-0.00835668904474,2
0,wall2,alpha_base,1,1,0.765172079205513,0.7529413759708404,0.7480222522259619,0.7823219061850641,0.735471977835609,0.7704107741060718,True,True,-0.012230703234672569,0
0,wall2,alpha_slope,2,2,0.1357041530311107,0.1245561975985765,0.1320477783564163,0.1393605277058052,0.1208380280520859,0.1282743671450671,True,True,-0.01114795543253419,0
0,wall2,nu,3,3,0.095657842606306,0.1055260378867387,0.0930487639369294,0.0982669212756827,0.101906611163103,0.1091454646103745,True,True,0.009868195280432701,0
2,avg_fuel_temp,E_intercept,8,8,0.0040000086533837,0.0045628804597072,0.0036945631301125,0.0043054541766548,0.0043152415941983,0.004810519325216,True,True,0.0005628718063235005,0
2,avg_fuel_temp,E_slope,7,7,0.005635205283761,0.0066669309977442,0.0052561523232878,0.0060142582442342,0.0063578969591925,0.0069759650362958,True,True,0.0010317257139832005,0
2,avg_fuel_temp,SS316_T_ref,2,2,0.3154183432459831,0.2695482805371284,0.3017337679256443,0.3291029185663219,0.2582102376623675,0.2808863234118893,True,True,-0.045870062708854686,0
2,avg_fuel_temp,SS316_alpha,3,3,0.135700561106205,0.0396339194849133,0.1273262195328459,0.144074902679564,0.037832252487362,0.0414355864824646,True,True,-0.09606664162129169,0
2,avg_fuel_temp,SS316_k_ref,1,1,0.6774106532335281,0.7205295920372009,0.6534579910567468,0.7013633154103094,0.7005012220047,0.7405579620697018,True,True,0.04311893880367279,0
2,avg_fuel_temp,alpha_base,4,4,0.025717937760055,0.0225095809437334,0.0242394037873495,0.0271964717327605,0.0215605111133086,0.0234586507741582,True,True,-0.0032083568163215996,0
2,avg_fuel_temp,alpha_slope,6,6,0.0212730190716683,0.0184722214005887,0.019779169775652,0.0227668683676846,0.0174545454378398,0.0194898973633376,True,True,-0.002800797671079599,0
