benchmark_case_id,parameter,prior_mean,prior_std,prior_var,prior_q05,prior_q50,prior_q95,prior_width90,prior_width50,posterior_mean,posterior_std,posterior_var,posterior_q05,posterior_q50,posterior_q95,posterior_width90,posterior_width50,mean_shift_abs,width90_ratio_post_over_prior,width50_ratio_post_over_prior,var_ratio_post_over_prior,contraction_flag_width90,contraction_flag_var
10,E_intercept,202907612563.2635,32368431899.71069,1.0477153836462085e+21,151773285760.12534,202641466741.34625,253193776217.43335,101420490457.30801,55624075426.612946,192431648547.7389,6791346778.560547,4.612239106666472e+19,181216873395.8489,192385826425.55298,203351677721.75397,22134804325.90506,9029422599.805695,10475964015.524597,0.2182478533292293,0.16232939658868706,0.04402187062115267,True,True
10,alpha_base,9.496486981227459e-06,1.7133540257310343e-06,2.935582017488742e-12,6.840920783712724e-06,9.505586305419282e-06,1.2152123084395562e-05,5.3112023006828385e-06,3.0123521568733687e-06,1.0421785888189509e-05,4.0593878945203236e-07,1.6478630078178146e-13,9.796713823509451e-06,1.0393235053934999e-05,1.111857683408273e-05,1.321863010573279e-06,5.211066453636747e-07,9.252989069620502e-07,0.24888206770119314,0.17298994879288965,0.05613411575628492,True,True
10,alpha_slope,5.0506302828111865e-09,8.547387250674199e-10,7.305782881298784e-19,3.725706883264493e-09,5.063218345216416e-09,6.3714717609414326e-09,2.6457648776769393e-09,1.4985915332054538e-09,5.037711515061182e-09,4.1361186759700257e-10,1.7107477701708039e-19,4.357564318932086e-09,5.062536983940726e-09,5.646650075759732e-09,1.2890857568276464e-09,5.588086606099252e-10,1.291876775000431e-11,0.4872261203949091,0.37288924181671174,0.23416351101124921,True,True
10,SS316_k_ref,22.809294146215247,4.121859107176798,16.98972249941631,16.38701779408263,22.904757056115855,29.240293135017303,12.853275340934672,7.105437103036504,20.2654631264172,1.1882673536160386,1.411979303669664,18.195840312346977,20.38673880621734,21.922517835590547,3.72667752324357,1.5917070997135987,2.5438310197980485,0.2899399121541398,0.22401255216704172,0.08310784968490058,True,True
11,E_intercept,202148177938.4402,32581473460.15435,1.0615524128347423e+21,151158843432.8591,201927666636.77936,253302246992.8502,102143403559.99109,55937830867.48331,212608237754.18884,6956879469.065465,4.839817194710458e+19,201466934328.08893,212386820698.15967,224847634957.83615,23380700629.747223,9253887662.621979,10460059815.748657,0.22890073969402458,0.1654316500856895,0.04559188162727015,True,True
11,alpha_base,9.529046421208804e-06,1.6971317344453722e-06,2.880256124061557e-12,6.8661233403832855e-06,9.505245038002653e-06,1.2175672038896652e-05,5.309548698513366e-06,2.9217490334848135e-06,9.6463911157019e-06,3.999437075510316e-07,1.5995496920966506e-13,9.010524462017984e-06,9.63438841987738e-06,1.0303453951026598e-05,1.292929489008614e-06,5.734899359067006e-07,1.1734469449309626e-07,0.24351024209847147,0.19628309253607953,0.0555349810294324,True,True
11,alpha_slope,5.042195084234721e-09,8.411943606564053e-10,7.076079524001384e-19,3.725680516474811e-09,5.049966727423011e-09,6.360202401617834e-09,2.634521885143023e-09,1.459043666992265e-09,4.844694796119891e-09,4.083886897759205e-10,1.6678132193689307e-19,4.178411597449354e-09,4.859882184238741e-09,5.49810080720822e-09,1.3196892097588665e-09,6.061986931363847e-10,1.9750028811482978e-10,0.5009217107669702,0.41547673099190285,0.23569735384005622,True,True
11,SS316_k_ref,22.796361932968615,4.046345192826508,16.372909419510194,16.47324574000846,22.768099077110385,29.164999979097242,12.691754239088784,7.005535402244771,23.90146159971887,1.3584636013127525,1.8454233560916127,21.6785377184441,23.878785414049467,26.141840162332212,4.463302443888111,1.9121841598923766,1.105099666750256,0.3516694666322626,0.2729533219230694,0.11271199936479095,True,True
12,E_intercept,202463753812.11844,32839561056.21366,1.0784367703647849e+21,151826510620.09634,201931564142.68585,254108804993.2696,102282294373.17325,56808878747.01437,205652111611.6071,8425268018.343154,7.098514118091598e+19,191632181375.23514,205622837278.26672,220176995186.4964,28544813811.26126,10953707382.158722,3188357799.4886475,0.27907873973883046,0.19281682060543046,0.06582225600199539,True,True
12,alpha_base,9.485119424821172e-06,1.704019387654494e-06,2.9036820735023968e-12,6.848265622995909e-06,9.500926154990472e-06,1.2148853007479334e-05,5.300587384483425e-06,2.9416160100540333e-06,9.2906498593626e-06,4.238614781889779e-07,1.796585526925454e-13,8.613277676023615e-06,9.292336057534865e-06,9.965283115565441e-06,1.3520054395418257e-06,5.549550542348073e-07,1.944695654585718e-07,0.25506709756348767,0.18865652496384583,0.06187266654707923,True,True
12,alpha_slope,5.048699337597391e-09,8.496315186240535e-10,7.218737174394154e-19,3.717168607965543e-09,5.07895232845451e-09,6.366707916723412e-09,2.6495393087578687e-09,1.445307767316402e-09,4.9030361692842015e-09,4.290365224434831e-10,1.840723375903974e-19,4.187633895306745e-09,4.888068938827374e-09,5.550061438853138e-09,1.362427543546393e-09,5.54547729397805e-10,1.4566316831318925e-10,0.5142129950829502,0.3836883340269251,0.25499243585613157,True,True
12,SS316_k_ref,22.757076702213695,4.128327002691509,17.04308384115186,16.389632593846848,22.730837051192132,29.217322034187866,12.827689440341018,7.229500403287538,18.710778199431545,1.2515184726392847,1.566298487357368,16.521470195541426,18.761571534981947,20.67919685719502,4.157726661653594,1.7907373515599083,4.04629850278215,0.3241212442030451,0.24769863084115598,0.09190229315045777,True,True
13,E_intercept,202571947257.04636,32987339326.258003,1.0881645558256878e+21,151095378573.88724,202902811477.30573,253613953512.6992,102518574938.81195,57174524189.294556,191442983497.57642,7312180181.522768,5.346797900705434e+19,179257558937.4471,191386653384.1477,203629078883.42813,24371519945.981018,9736912702.546967,11128963759.46994,0.2377278455199667,0.17030159569513514,0.049135931436843576,True,True
