E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
-77002628.87385128,191496441578.3253,0.2974117967793839,9.065644251053044e-06,4.547518420083449e-09,955.1723221169034,20.208502266136797,0.0133914795229507,1.1133589146381275,1035.95,1137.53,1107.98,202.42,962.223931204838,152.13694985424817,29.89661881825752,1.1043770665678103,1010.51,1092.2,1056.85,151.14,953.5759736416064,152.11211892801393,29.89103935474226
-69894091.46835987,169132690363.03625,0.2841839581143732,8.699685897196505e-06,5.16672231813704e-09,950.3899136386196,22.26644668740329,0.0122985854293227,1.1133589146381102,1016.47,1104.11,1069.29,141.5,955.4590441787484,152.17648232497635,29.894033224000395,1.1042043721364283,1002.25,1077.57,1040.14,114.38,951.1098233496087,152.16336915369874,29.89099987904195
-64168258.01686028,180818608964.01852,0.3789908605364993,1.2184701993208628e-05,4.463074234971266e-09,1058.8824965491078,22.81028457883609,0.0114617558423465,1.1133589146381366,1019.38,1109.2,1075.15,238.51,956.4363428732228,152.55257615307954,29.97428750143408,1.1024013554239296,1004.55,1081.02,1044.47,193.53,951.7769954791928,152.53717226523165,29.97031120712536
-68187510.60469432,217796211987.7203,0.2998793787525432,1.039876871719167e-05,4.892567734861886e-09,984.3165313898768,28.53636820910329,0.0119172353113139,1.1133589146381304,1003.78,1081.37,1043.37,197.41,951.4348805422168,152.35786952240176,29.923000156829204,1.1036328186617963,996.22,1065.32,1026.72,170.11,949.5302237169954,152.35182210184712,29.92137484583808
-65893668.86068594,201574807302.45056,0.2892362332117961,1.2252197861091308e-05,4.347026297447341e-09,739.5297093119098,26.413599790478763,0.0146553401223593,1.1133589146381273,1003.67,1081.15,1043.12,191.85,951.4012491255774,152.5248389210434,29.94673102353645,1.1032460849726975,994.78,1062.63,1023.66,160.51,949.1484545588704,152.51746618492774,29.94468548717194
-71387641.22857016,213628676225.5768,0.3431795450454286,1.0267143481401765e-05,4.524946029611315e-09,878.9399952879005,24.140653932559893,0.0139057545821451,1.113358914638119,1015.26,1101.99,1066.85,230.87,955.0590677341208,152.28443702802787,29.925793188555428,1.1043938754906049,1001.43,1075.68,1038.13,186.55,950.8811862021452,152.27174739961774,29.92258610257745
-70149340.34312312,205213728409.0459,0.2912412684236581,8.9587176495734e-06,4.3752200985665234e-09,842.3477937470301,21.90123315186646,0.0113697083781645,1.113358914638119,1014.14,1100.03,1064.6,180.29,954.693691337808,152.06905208864225,29.8851605199469,1.1049007772786523,1002.19,1076.98,1039.58,150.06,951.0688313792664,152.05893361055558,29.88274092808189
-78371010.72798407,210066519794.03177,0.3123414461591611,1.0239925171015984e-05,4.6364705101941015e-09,1052.316751973925,24.577187581727348,0.0156612659534787,1.1133589146381375,1023.52,1116.36,1083.42,227.99,957.8483470005144,152.309166715641,29.922461320821213,1.1034699474527814,1002.99,1078.35,1041.16,171.5,951.3207325123774,152.28911126712856,29.917676888049872
-68355158.07421298,208712122312.61243,0.2845191806629695,8.03799812327039e-06,4.777589104200756e-09,1005.8745763696814,24.326825323178355,0.0122122659640366,1.1133589146381264,1007.32,1087.86,1050.73,160.98,952.484596528478,152.00334012765242,29.871844937856544,1.104444257466353,997.15,1067.44,1028.86,133.39,949.7444092086112,151.99571171599086,29.8699492620964
-65355600.54482289,213198547355.93503,0.2794296625560402,1.0581564052962326e-05,4.677031463961561e-09,925.866539175418,23.242359795879967,0.0110289492804856,1.1133589146381295,1010.5,1093.58,1057.25,210.65,953.4705853260411,152.351842772862,29.91940331048385,1.1032781763394226,1000.16,1073.11,1035.37,177.25,950.535220569762,152.34264490926464,29.917114579419056
