E_intercept,alpha_base
197523337714.6137,8.096133609940313e-06
197770479037.3088,7.965116246241775e-06
196753241015.14,7.75398744121332e-06
202902754734.52435,7.784896685102604e-06
205553390939.00925,7.929402037757584e-06
210013535125.0044,8.02010206028037e-06
203413828652.44864,7.967904769235248e-06
200129403039.07303,7.983181604613664e-06
202531552281.5452,7.999732164399857e-06
210595415847.8533,7.86512652041084e-06
212420139062.71863,7.94134088519441e-06
205415977200.8464,8.010313306607278e-06
205755463367.5724,7.96763795170424e-06
206727884108.2312,7.990281137061047e-06
207857519894.9876,7.71306426786742e-06
206447439660.6309,7.854250793447556e-06
205196677200.72272,8.017406096861992e-06
202881917120.92712,7.81606137168194e-06
194557906703.9836,7.68123059265999e-06
194820410105.8477,7.917434644597776e-06
197042348823.08743,7.926098730347506e-06
198597089284.50552,7.623052473921584e-06
200879103853.53183,7.838380260647123e-06
209500229654.07172,7.843239874160714e-06
208785380033.4314,7.670978265392376e-06
207347509194.46445,8.01782172722209e-06
204165317976.293,7.9903564516214e-06
208633108129.526,8.105920334095403e-06
203398144509.5037,7.938694455004703e-06
207530896118.82123,7.500436943255709e-06
208383412822.27737,7.547465107467316e-06
208012995609.5408,7.90554953756884e-06
199246024648.7057,7.947166199755585e-06
191291560709.98907,7.843622741079448e-06
191141215329.45703,7.905388577854607e-06
191308542688.59192,8.01124191208454e-06
201873148694.4105,7.93955468089146e-06
204005180356.12057,7.503141984953049e-06
205642634701.0233,7.395516035557814e-06
207919302811.7281,7.228803488060722e-06
201121181047.9949,7.631082328448794e-06
203949120162.01297,7.757440404463783e-06
194789586571.82047,7.252253689324724e-06
198706226519.87283,7.291107734797399e-06
202296246340.9624,7.094483886151537e-06
197221804695.08664,7.408613961880272e-06
199972814398.43552,7.5528232970493e-06
199887459716.60907,7.744942149263036e-06
212118695795.593,7.523484924416991e-06
206095895655.999,7.734105881197531e-06
207353011812.27716,7.843098320293597e-06
204840790599.72015,8.009749562330035e-06
209298888105.3781,7.670511763028989e-06
209841275981.53055,8.039222822548021e-06
195827983133.1021,7.781219633427665e-06
197485950629.1393,7.739852362024007e-06
194954724543.2104,7.60777077634006e-06
203314033198.12213,7.63646082618457e-06
202936288614.88336,7.246086170237831e-06
194722298914.3264,7.44332280454204e-06
184764428040.98337,7.338084928897602e-06
206922319067.47723,7.383243781793407e-06
211540977130.2312,7.905740284709689e-06
208611663111.68097,7.514625175827832e-06
201027837970.45023,7.627280009182437e-06
204462891840.9912,7.91153493794431e-06
202634428898.93317,7.860760399619914e-06
198886333717.6411,7.92430083642536e-06
196711357147.04773,8.11705737242219e-06
193850359179.9318,8.012916062061668e-06
195502796659.4664,8.02557236785716e-06
201014234450.0912,7.972899835158049e-06
204434306304.81815,8.111104046519836e-06
214268739526.7865,7.837478099557453e-06
215190894451.565,7.815253364153028e-06
208700298794.5328,8.062918060255946e-06
213267876579.359,8.064112350121405e-06
207844145157.6559,7.845214603491758e-06
206919389158.60928,7.85549758249708e-06
200069993741.05063,8.18737440111026e-06
194977129693.0071,8.218334073622932e-06
203276504849.4996,8.270925000680161e-06
202938715201.3134,8.051905253509111e-06
224073352552.55548,7.785713714559515e-06
223382068440.64444,7.909341931440273e-06
216749492680.49768,7.850323606820591e-06
223143498070.0493,8.119100562993432e-06
219966984795.33737,8.127978867554552e-06
218826232661.06143,7.920865237271902e-06
214273328520.3977,7.561802703230145e-06
218700013839.042,7.507687610965864e-06
210194129049.26007,7.431731714497853e-06
213173442870.2252,7.896692846441659e-06
209441277180.1423,7.952021301397845e-06
212967004449.9035,7.925582853284987e-06
215126254158.1009,7.89739669990029e-06
215460881516.00272,7.966050420904151e-06
209190106684.8213,7.961821959174409e-06
207408849123.7256,7.708411268155924e-06
203974137103.65512,7.617708080755038e-06
200128047614.62088,7.43884022792999e-06
202183894024.8628,7.456184614332185e-06
213979603627.0627,7.922362121664111e-06
211153001547.46732,7.71120835065688e-06
