iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
1.1319643,1011.5167,1094.8029,1058.0479,181.32382,953.7422,151.98582,29.886057,1.1046734,998.6017,1070.43,1031.6058,144.61446,950.10004,151.99034,29.883541
1.1376874,1009.28564,1090.4293,1053.6433,165.68585,953.01526,152.08307,29.892452,1.1043319,999.283,1071.4639,1033.0627,139.33583,950.29156,152.18909,29.890339
1.1277254,1015.72797,1101.6841,1066.5082,182.70554,955.0839,152.05547,29.892447,1.1043203,1000.87946,1074.4169,1036.3328,143.88097,950.7273,152.13069,29.889551
1.1203089,1013.5436,1099.0916,1063.6075,173.7504,954.6873,152.14955,29.893856,1.104278,1000.7408,1073.9948,1036.5054,141.37926,950.69214,152.24171,29.89083
1.1317586,1012.05585,1095.6317,1059.64,164.5218,954.02594,151.99512,29.883163,1.1046557,1000.1046,1073.0691,1034.8666,134.12529,950.5047,152.07332,29.880556
1.1305184,1012.2956,1096.3944,1060.561,174.17865,954.20844,152.05872,29.888142,1.1044617,1000.69684,1073.9724,1036.1804,143.58202,950.66376,152.14847,29.885553
1.1227496,1026.9169,1122.9202,1091.7104,163.302,959.4753,152.1173,29.887804,1.1044523,1004.9749,1082.3759,1046.365,123.964195,951.9863,152.15733,29.883726
1.1291453,1015.075,1101.6649,1066.1185,207.88669,955.1146,152.05913,29.892399,1.1044174,1000.57654,1073.7065,1035.696,164.09157,950.6338,152.07278,29.889612
1.1262084,1013.12225,1097.4697,1061.5782,179.05588,954.3121,152.07402,29.891945,1.1043377,999.97003,1072.6594,1034.4011,143.61774,950.4587,152.16792,29.889114
1.124534,1012.7013,1096.9403,1061.2523,171.62262,954.27655,152.04163,29.88491,1.1045159,1000.1349,1072.9598,1034.83,138.35808,950.499,152.1522,29.882101
1.1289431,1012.95483,1096.994,1061.1552,175.06308,954.20703,152.04623,29.893007,1.1044118,999.8432,1072.654,1034.2571,140.79381,950.44604,152.09258,29.89043
1.1319004,1012.4669,1096.6882,1060.5092,193.53712,954.166,152.06921,29.893194,1.1043682,999.97504,1072.6599,1034.4486,156.49101,950.4611,152.11905,29.890549
1.1281699,1012.24805,1095.9686,1060.2505,161.60873,954.12933,152.08003,29.891989,1.1043617,1000.9966,1074.6176,1036.9601,135.23987,950.7523,152.1929,29.889612
1.1250882,1015.70953,1102.0907,1066.9343,189.38344,955.1946,152.05496,29.89308,1.1043639,1001.0088,1074.6069,1036.6583,149.98586,950.74854,152.11592,29.890196
1.1309564,1013.6863,1097.9105,1062.4081,161.65457,954.4234,152.05519,29.892107,1.1043639,1000.5715,1073.9471,1035.7932,131.02869,950.6637,152.13412,29.889557
1.1303164,1015.234,1100.895,1065.6381,189.03308,954.9061,152.053,29.895044,1.1043217,1000.64606,1074.1322,1035.9845,149.4062,950.67065,152.08931,29.892384
1.1276124,1015.66034,1102.5438,1067.2883,196.69295,955.29395,152.09894,29.893585,1.1042937,1001.2162,1074.7638,1037.0875,156.57198,950.8053,152.1642,29.890556
