E_intercept,alpha_base,stress_mean,stress_sigma,feasible_mean_thr131,feasible_mean_thr120
188999533355.10016,6.582471495110376e-06,110.6406478881836,8.535995344707477,1.0,1.0
189543589228.38666,6.582471495110376e-06,110.96226501464844,8.543212277980249,1.0,1.0
190087645101.67316,6.582471495110376e-06,111.28459930419922,8.550512511725856,1.0,1.0
190631700974.95966,6.582471495110376e-06,111.60768127441406,8.557902453672977,1.0,1.0
191175756848.24615,6.582471495110376e-06,111.93145751953125,8.565377526872552,1.0,1.0
191719812721.53265,6.582471495110376e-06,112.25598907470703,8.572941392883832,1.0,1.0
192263868594.81915,6.582471495110376e-06,112.58123779296875,8.580591305537379,1.0,1.0
192807924468.10565,6.582471495110376e-06,112.9072265625,8.588327264833193,1.0,1.0
193351980341.39215,6.582471495110376e-06,113.23390197753906,8.596160255449012,1.0,1.0
193896036214.67865,6.582471495110376e-06,113.56129455566406,8.604076546537664,1.0,1.0
194440092087.96515,6.582471495110376e-06,113.88944244384766,8.612083461217642,1.0,1.0
194984147961.25165,6.582471495110376e-06,114.21826934814453,8.62018466104819,1.0,1.0
195528203834.53815,6.582471495110376e-06,114.54782104492188,8.628371907521005,1.0,1.0
196072259707.82465,6.582471495110376e-06,114.87805938720703,8.636648862195335,1.0,1.0
196616315581.11115,6.582471495110376e-06,115.20902252197266,8.645026509748915,1.0,1.0
197160371454.39764,6.582471495110376e-06,115.54070281982422,8.653499357842875,1.0,1.0
197704427327.68414,6.582471495110376e-06,115.8730697631836,8.662055506409668,1.0,1.0
198248483200.97064,6.582471495110376e-06,116.20613098144531,8.670707770906656,1.0,1.0
198792539074.25714,6.582471495110376e-06,116.5398941040039,8.679457066723648,1.0,1.0
199336594947.54364,6.582471495110376e-06,116.8743667602539,8.688301563081021,1.0,1.0
199880650820.83014,6.582471495110376e-06,117.20951080322266,8.697233936860286,1.0,1.0
200424706694.11664,6.582471495110376e-06,117.54534912109375,8.70626791890861,1.0,1.0
200968762567.40314,6.582471495110376e-06,117.88188171386719,8.71539893227694,1.0,1.0
201512818440.68964,6.582471495110376e-06,118.21913146972656,8.724626976965274,1.0,1.0
202056874313.97614,6.582471495110376e-06,118.5570297241211,8.7339511375838,1.0,1.0
202600930187.26263,6.582471495110376e-06,118.89561462402344,8.743375991081576,1.0,1.0
203144986060.54913,6.582471495110376e-06,119.23486328125,8.752896045119734,1.0,1.0
203689041933.83563,6.582471495110376e-06,119.57482147216797,8.762517707426953,1.0,1.0
204233097807.12213,6.582471495110376e-06,119.91539764404297,8.772236401054176,1.0,1.0
204777153680.40863,6.582471495110376e-06,120.25665283203125,8.782057618340271,1.0,0.0
205321209553.69513,6.582471495110376e-06,120.59860229492188,8.791977697725995,1.0,0.0
205865265426.98163,6.582471495110376e-06,120.94121551513672,8.801999385380778,1.0,0.0
206409321300.26813,6.582471495110376e-06,121.28446197509766,8.81212725825368,1.0,0.0
206953377173.55463,6.582471495110376e-06,121.6283950805664,8.822350331666964,1.0,0.0
207497433046.84113,6.582471495110376e-06,121.97293853759766,8.832680505688177,1.0,0.0
208041488920.12762,6.582471495110376e-06,122.31817626953125,8.843113203368262,1.0,0.0
208585544793.41412,6.582471495110376e-06,122.6640396118164,8.853646593927596,1.0,0.0
209129600666.70062,6.582471495110376e-06,123.01054382324219,8.864290746654106,1.0,0.0
209673656539.98712,6.582471495110376e-06,123.35770416259766,8.875034676870055,1.0,0.0
210217712413.27362,6.582471495110376e-06,123.70549011230469,8.885885707693932,1.0,0.0
210761768286.56012,6.582471495110376e-06,124.05390167236328,8.896840177566492,1.0,0.0
211305824159.84662,6.582471495110376e-06,124.40294647216797,8.907904494216417,1.0,0.0
211849880033.13312,6.582471495110376e-06,124.75263214111328,8.919076826864082,1.0,0.0
212393935906.41962,6.582471495110376e-06,125.10295104980469,8.93035259856043,1.0,0.0
212937991779.70612,6.582471495110376e-06,125.45387268066406,8.941740047813767,1.0,0.0
213482047652.9926,6.582471495110376e-06,125.80536651611328,8.953238259234276,1.0,0.0
214026103526.2791,6.582471495110376e-06,126.15752410888672,8.96483990970347,1.0,0.0
214570159399.5656,6.582471495110376e-06,126.51031494140625,8.97655415311946,1.0,0.0
215114215272.8521,6.582471495110376e-06,126.86366271972656,8.988379158702626,1.0,0.0
215658271146.1386,6.582471495110376e-06,127.21763610839844,9.000308518724287,1.0,0.0
216202327019.4251,6.582471495110376e-06,127.57218933105469,9.012356879421425,1.0,0.0
216746382892.7116,6.582471495110376e-06,127.92735290527344,9.024515086895926,1.0,0.0
217290438765.9981,6.582471495110376e-06,128.2830810546875,9.036784056537602,1.0,0.0
217834494639.2846,6.582471495110376e-06,128.63941955566406,9.049173857634377,1.0,0.0
218378550512.5711,6.582471495110376e-06,128.996337890625,9.061663436220591,1.0,0.0
218922606385.85757,6.582471495110376e-06,129.35382080078125,9.07427659243134,1.0,0.0
219466662259.14407,6.582471495110376e-06,129.7119140625,9.087004172368507,1.0,0.0
220010718132.43057,6.582471495110376e-06,130.07054138183594,9.099840683693229,1.0,0.0
220554774005.71707,6.582471495110376e-06,130.4297332763672,9.11279894186286,1.0,0.0
221098829879.00357,6.582471495110376e-06,130.7895050048828,9.125867962199665,1.0,0.0
221642885752.29007,6.582471495110376e-06,131.1498260498047,9.13905781399157,0.0,0.0
222186941625.57657,6.582471495110376e-06,131.51068115234375,9.152363920289519,0.0,0.0
222730997498.86307,6.582471495110376e-06,131.8721160888672,9.165783534924076,0.0,0.0
223275053372.14957,6.582471495110376e-06,132.23406982421875,9.17932215023411,0.0,0.0
223819109245.43607,6.582471495110376e-06,132.59658813476562,9.19298525855849,0.0,0.0
224363165118.72256,6.582471495110376e-06,132.95962524414062,9.206760959829666,0.0,0.0
224907220992.00906,6.582471495110376e-06,133.3231964111328,9.220660238725376,0.0,0.0
225451276865.29556,6.582471495110376e-06,133.6873016357422,9.234678518296564,0.0,0.0
225995332738.58206,6.582471495110376e-06,134.05194091796875,9.248820375492286,0.0,0.0
226539388611.86856,6.582471495110376e-06,134.41708374023438,9.263075741024617,0.0,0.0
227083444485.15506,6.582471495110376e-06,134.78273010253906,9.277460176520348,0.0,0.0
227627500358.44156,6.582471495110376e-06,135.1488800048828,9.291963612691557,0.0,0.0
228171556231.72806,6.582471495110376e-06,135.5155487060547,9.306591541877111,0.0,0.0
228715612105.01456,6.582471495110376e-06,135.88272094726562,9.321338471738143,0.0,0.0
229259667978.30106,6.582471495110376e-06,136.25038146972656,9.336214471562576,0.0,0.0
229803723851.58755,6.582471495110376e-06,136.61851501464844,9.351210387452296,0.0,0.0
230347779724.87405,6.582471495110376e-06,136.98715209960938,9.366334457915608,0.0,0.0
230891835598.16055,6.582471495110376e-06,137.35626220703125,9.381581190613643,0.0,0.0
231435891471.44705,6.582471495110376e-06,137.72586059570312,9.396956077885267,0.0,0.0
231979947344.73355,6.582471495110376e-06,138.09593200683594,9.412458204340671,0.0,0.0
232524003218.02005,6.582471495110376e-06,138.4664306640625,9.428078416081743,0.0,0.0
233068059091.30655,6.582471495110376e-06,138.83741760253906,9.443837767074138,0.0,0.0
233612114964.59305,6.582471495110376e-06,139.2088623046875,9.459717034131824,0.0,0.0
234156170837.87955,6.582471495110376e-06,139.5807647705078,9.475728117322346,0.0,0.0
234700226711.16605,6.582471495110376e-06,139.95310974121094,9.491866439696645,0.0,0.0
235244282584.45255,6.582471495110376e-06,140.3258819580078,9.508133832034348,0.0,0.0
235788338457.73904,6.582471495110376e-06,140.6990966796875,9.524533040504886,0.0,0.0
236332394331.02554,6.582471495110376e-06,141.07275390625,9.541063149718449,0.0,0.0
236876450204.31204,6.582471495110376e-06,141.44680786132812,9.557720498115792,0.0,0.0
237420506077.59854,6.582471495110376e-06,141.82130432128906,9.574510578035781,0.0,0.0
237964561950.88504,6.582471495110376e-06,142.1962127685547,9.591429727919172,0.0,0.0
238508617824.17154,6.582471495110376e-06,142.571533203125,9.608484355494646,0.0,0.0
239052673697.45804,6.582471495110376e-06,142.94725036621094,9.62566713764371,0.0,0.0
239596729570.74454,6.582471495110376e-06,143.3233642578125,9.642990889823722,0.0,0.0
174854080649.65118,6.603408627410476e-06,102.56602478027344,8.355766075528166,1.0,1.0
175398136522.93768,6.603408627410476e-06,102.86927032470703,8.360951758809527,1.0,1.0
175942192396.22418,6.603408627410476e-06,103.17327880859375,8.366220742563724,1.0,1.0
176486248269.51068,6.603408627410476e-06,103.47803497314453,8.371548311265848,1.0,1.0
177030304142.79718,6.603408627410476e-06,103.78356170654297,8.376959180440803,1.0,1.0
177574360016.08368,6.603408627410476e-06,104.08985900878906,8.382448773139538,1.0,1.0
178118415889.37018,6.603408627410476e-06,104.39692687988281,8.388005189294502,1.0,1.0
178662471762.65668,6.603408627410476e-06,104.7047348022461,8.393642159752865,1.0,1.0
179206527635.94318,6.603408627410476e-06,105.01329803466797,8.39934869983689,1.0,1.0
179750583509.22968,6.603408627410476e-06,105.3226318359375,8.405135794224318,1.0,1.0
180294639382.51617,6.603408627410476e-06,105.63273620605469,8.410998865966086,1.0,1.0
180838695255.80267,6.603408627410476e-06,105.94355010986328,8.4169379150622,1.0,1.0
181382751129.08917,6.603408627410476e-06,106.25518035888672,8.422958433851523,1.0,1.0
181926807002.37567,6.603408627410476e-06,106.56752014160156,8.429052183825755,1.0,1.0
182470862875.66217,6.603408627410476e-06,106.88063049316406,8.435226488103387,1.0,1.0
183014918748.94867,6.603408627410476e-06,107.19448852539062,8.44148134668442,1.0,1.0
183558974622.23517,6.603408627410476e-06,107.50912475585938,8.44781675956885,1.0,1.0
184103030495.52167,6.603408627410476e-06,107.824462890625,8.45423089597706,1.0,1.0
184647086368.80817,6.603408627410476e-06,108.14059448242188,8.46072650207848,1.0,1.0
185191142242.09467,6.603408627410476e-06,108.45742797851562,8.467299000924054,1.0,1.0
185735198115.38116,6.603408627410476e-06,108.77507019042969,8.473953884852651,1.0,1.0
186279253988.66766,6.603408627410476e-06,109.0934066772461,8.480695730813327,1.0,1.0
186823309861.95416,6.603408627410476e-06,109.41252136230469,8.487527284975517,1.0,1.0
187367365735.24066,6.603408627410476e-06,109.73236846923828,8.494430239542993,1.0,1.0
187911421608.52716,6.603408627410476e-06,110.05290985107422,8.501424733091605,1.0,1.0
188455477481.81366,6.603408627410476e-06,110.3742446899414,8.508497950163994,1.0,1.0
188999533355.10016,6.603408627410476e-06,110.69630432128906,8.515654467709217,1.0,1.0
189543589228.38666,6.603408627410476e-06,111.01910400390625,8.522904355015198,1.0,1.0
190087645101.67316,6.603408627410476e-06,111.3426284790039,8.530236627404202,1.0,1.0
190631700974.95966,6.603408627410476e-06,111.66687774658203,8.537650369486418,1.0,1.0
191175756848.24615,6.603408627410476e-06,111.99186706542969,8.545158396719204,1.0,1.0
191719812721.53265,6.603408627410476e-06,112.3176040649414,8.55275430137388,1.0,1.0
192263868594.81915,6.603408627410476e-06,112.64402770996094,8.560434421891202,1.0,1.0
192807924468.10565,6.603408627410476e-06,112.97118377685547,8.56819967366098,1.0,1.0
193351980341.39215,6.603408627410476e-06,113.2990951538086,8.576065618310007,1.0,1.0
193896036214.67865,6.603408627410476e-06,113.62770080566406,8.584013948042058,1.0,1.0
194440092087.96515,6.603408627410476e-06,113.9570541381836,8.592047409026566,1.0,1.0
194984147961.25165,6.603408627410476e-06,114.28709411621094,8.600176070551454,1.0,1.0
195528203834.53815,6.603408627410476e-06,114.61785888671875,8.608395355667668,1.0,1.0
196072259707.82465,6.603408627410476e-06,114.94933319091797,8.616708925934452,1.0,1.0
196616315581.11115,6.603408627410476e-06,115.28152465820312,8.62511311979256,1.0,1.0
197160371454.39764,6.603408627410476e-06,115.61441040039062,8.633610683411426,1.0,1.0
197704427327.68414,6.603408627410476e-06,115.9480209350586,8.642203447570676,1.0,1.0
198248483200.97064,6.603408627410476e-06,116.2823257446289,8.65088683532125,1.0,1.0
198792539074.25714,6.603408627410476e-06,116.61732482910156,8.659666339002015,1.0,1.0
199336594947.54364,6.603408627410476e-06,116.9530258178711,8.668537381663919,1.0,1.0
199880650820.83014,6.603408627410476e-06,117.28944396972656,8.677510032594883,1.0,1.0
200424706694.11664,6.603408627410476e-06,117.62654113769531,8.68657239172736,1.0,1.0
200968762567.40314,6.603408627410476e-06,117.96430969238281,8.695734528349275,1.0,1.0
201512818440.68964,6.603408627410476e-06,118.30276489257812,8.70499644246063,1.0,1.0
202056874313.97614,6.603408627410476e-06,118.64192199707031,8.71435081094293,1.0,1.0
202600930187.26263,6.603408627410476e-06,118.98178100585938,8.723805872304482,1.0,1.0
203144986060.54913,6.603408627410476e-06,119.32229614257812,8.733355218816603,1.0,1.0
203689041933.83563,6.603408627410476e-06,119.66348266601562,8.743006173597786,1.0,1.0
204233097807.12213,6.603408627410476e-06,120.00537109375,8.752757821258218,1.0,0.0
204777153680.40863,6.603408627410476e-06,120.34788513183594,8.7626101617979,1.0,0.0
205321209553.69513,6.603408627410476e-06,120.69110107421875,8.772567772165889,1.0,0.0
205865265426.98163,6.603408627410476e-06,121.03496551513672,8.782616921515014,1.0,0.0
206409321300.26813,6.603408627410476e-06,121.37950134277344,8.792775917641501,1.0,0.0
206953377173.55463,6.603408627410476e-06,121.72471618652344,8.803030114308372,1.0,0.0
207497433046.84113,6.603408627410476e-06,122.07056427001953,8.813394157752604,1.0,0.0
208041488920.12762,6.603408627410476e-06,122.41706848144531,8.823858894076087,1.0,0.0
208585544793.41412,6.603408627410476e-06,122.76421356201172,8.834426154058443,1.0,0.0
209129600666.70062,6.603408627410476e-06,123.11199188232422,8.845097768479294,1.0,0.0
209673656539.98712,6.603408627410476e-06,123.46044158935547,8.855873737338639,1.0,0.0
210217712413.27362,6.603408627410476e-06,123.80951690673828,8.866758637585537,1.0,0.0
210761768286.56012,6.603408627410476e-06,124.15924072265625,8.877750638440363,1.0,0.0
211305824159.84662,6.603408627410476e-06,124.50958251953125,8.888846078343875,1.0,0.0
211849880033.13312,6.603408627410476e-06,124.86055755615234,8.900046788075691,1.0,0.0
212393935906.41962,6.603408627410476e-06,125.212158203125,8.911363752313552,1.0,0.0
212937991779.70612,6.603408627410476e-06,125.56436920166016,8.922775001701982,1.0,0.0
213482047652.9926,6.603408627410476e-06,125.91722106933594,8.934307997935324,1.0,0.0
214026103526.2791,6.603408627410476e-06,126.27066040039062,8.945942602437727,1.0,0.0
214570159399.5656,6.603408627410476e-06,126.62474822998047,8.957687969107303,1.0,0.0
215114215272.8521,6.603408627410476e-06,126.97943115234375,8.969544097944055,1.0,0.0
215658271146.1386,6.603408627410476e-06,127.33468627929688,8.981512819727605,1.0,0.0
216202327019.4251,6.603408627410476e-06,127.69055938720703,8.993589557508896,1.0,0.0
216746382892.7116,6.603408627410476e-06,128.04705810546875,9.005785295965662,1.0,0.0
217290438765.9981,6.603408627410476e-06,128.4040985107422,9.018085388860925,1.0,0.0
217834494639.2846,6.603408627410476e-06,128.76173400878906,9.030507228601097,1.0,0.0
