case_idx,row_idx,category,param,noise_frac,true_value,post_mean,post_std,ci90_half_width,rel_ci90_half_width,post_p5,post_p95,in_90ci_true,mean_accept_rate
3,411,near,SS316_k_ref,0.005,20.836388472386968,23.422259336950237,1.7108276903773734,2.7546990631472656,1.214332876389456,20.652241873611246,26.161639999905777,True,0.5763333333333334
3,411,near,E_intercept,0.01,196068165697.8268,185984656228.0615,12808074492.645424,21164294026.83734,1.0618835330241432,165913344364.52206,208241932418.19675,True,0.5798333333333333
3,411,near,alpha_base,0.01,8.417610402280481e-06,9.57164834320754e-06,1.0774533005915482e-06,1.7747793915296156e-06,1.7408495924740932,7.874585292592837e-06,1.1424144075652068e-05,True,0.5798333333333333
3,411,near,alpha_slope,0.01,4.409618914428119e-09,4.941531184453959e-09,5.243954594260222e-10,8.64264877396872e-10,1.6939991956328695,4.082946269075692e-09,5.811476023869436e-09,True,0.5798333333333333
3,411,near,SS316_k_ref,0.01,20.836388472386968,23.51129692003782,1.9950650122906095,3.2487891537824893,1.432138824408731,20.53408124367541,27.031659551240388,True,0.5798333333333333
3,411,near,E_intercept,0.02,196068165697.8268,187873197219.93832,13772394403.583471,22021011099.01021,1.104867898590386,165730048458.28217,209772070656.30258,True,0.6006666666666667
3,411,near,alpha_base,0.02,8.417610402280481e-06,9.579895773859032e-06,1.0920765474584473e-06,1.8131719615398405e-06,1.7785081827052598,7.9140859787411e-06,1.1540429901820781e-05,True,0.6006666666666667
3,411,near,alpha_slope,0.02,4.409618914428119e-09,4.822462638484916e-09,5.170222416664418e-10,8.618026605015965e-10,1.6891731364591664,3.983723044369918e-09,5.707328365373111e-09,True,0.6006666666666667
3,411,near,SS316_k_ref,0.02,20.836388472386968,23.72190060799462,2.175867705922176,3.654094066832961,1.6108062830301615,20.09920321674695,27.407391350412873,True,0.6006666666666667
3,411,near,E_intercept,0.03,196068165697.8268,187415082789.54678,13045239163.641146,21047641531.471848,1.0560306865385616,166968694208.08258,209063977271.02628,True,0.611
3,411,near,alpha_base,0.03,8.417610402280481e-06,9.507511033076462e-06,1.0492790864187155e-06,1.7605363535227383e-06,1.7268788493900777,7.730630148748566e-06,1.1251702855794043e-05,True,0.611
3,411,near,alpha_slope,0.03,4.409618914428119e-09,4.8708296147390645e-09,5.325392184099671e-10,8.619365207009274e-10,1.689435508650753,4.054438694375455e-09,5.77831173577731e-09,True,0.611
3,411,near,SS316_k_ref,0.03,20.836388472386968,23.735324360749832,2.074229437836735,3.465242467631631,1.5275562798857565,20.168532186771188,27.09901712203445,True,0.611
3,411,near,E_intercept,0.05,196068165697.8268,185284804162.02344,12867387036.009827,21180380675.53218,1.0626906540804342,164802836652.26117,207163598003.32553,True,0.6053333333333333
3,411,near,alpha_base,0.05,8.417610402280481e-06,9.573757350210194e-06,1.0130798305310807e-06,1.6906976386267551e-06,1.6583752939928051,7.947092667172498e-06,1.1328487944426008e-05,True,0.6053333333333333
3,411,near,alpha_slope,0.05,4.409618914428119e-09,4.9374806765263075e-09,4.949149356322641e-10,8.301736696167063e-10,1.627178849153332,4.095053343684017e-09,5.7554006829174296e-09,True,0.6053333333333333
3,411,near,SS316_k_ref,0.05,20.836388472386968,23.093356636531343,2.137885569607005,3.57184829938101,1.5745505116840606,19.476442781581554,26.620139380343574,True,0.6053333333333333
3,411,near,E_intercept,0.1,196068165697.8268,186204025330.00702,13248164763.116611,22080054553.775635,1.107830306515203,164090005265.75708,208250114373.30835,True,0.6519999999999999
