level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,alpha_base,"(-inf, 9.258e-06]",89,iteration2_wall2,iter2,primary,8.66012106433805e-06,6.524645415320756e-06,9.25754264885386e-06,0.0010814101149814357,0.0013463345743914554,29.888270830794475,29.888002395629883,0.0032942898608602934,0.9887640449438202
2,alpha_base,"(1.033e-05, 1.101e-05]",88,iteration2_keff,iter2,primary,1.062926809533302e-05,1.0333047295497231e-05,1.1009010794425196e-05,0.00019987614791873822,0.00024565082232599417,1.103204073853241,1.103200912475586,0.0003716893625581235,0.9659090909090909
2,alpha_base,"(1.033e-05, 1.101e-05]",88,iteration2_max_fuel_temp,iter2,primary,1.062926809533302e-05,1.0333047295497231e-05,1.1009010794425196e-05,3.97785389293324,4.926542893091813,1073.5079545454544,1073.4901123046875,4.022318099835501,0.8295454545454546
2,alpha_base,"(1.033e-05, 1.101e-05]",88,iteration2_max_monolith_temp,iter2,primary,1.062926809533302e-05,1.0333047295497231e-05,1.1009010794425196e-05,4.515405550870039,5.581347686686547,1035.8692045454545,1035.9410400390625,4.552077952760819,0.8295454545454546
2,alpha_base,"(1.033e-05, 1.101e-05]",88,iteration2_max_global_stress,iter2,primary,1.062926809533302e-05,1.0333047295497231e-05,1.1009010794425196e-05,7.079038477810945,9.128180059261418,165.55954545454546,165.91860961914062,8.22412278036157,0.8636363636363636
2,alpha_base,"(1.033e-05, 1.101e-05]",88,iteration2_wall2,iter2,primary,1.062926809533302e-05,1.0333047295497231e-05,1.1009010794425196e-05,0.001137551859481692,0.0013162215102626754,29.930627693735357,29.931480407714844,0.0030161774646686595,1.0
2,alpha_base,"(1.101e-05, +inf)",86,iteration2_keff,iter2,primary,1.1513042622129817e-05,1.101645433044332e-05,1.244021147210701e-05,0.00023186893667102697,0.00028387420444384503,1.1027025660379484,1.1026806831359863,0.00038995464906341307,0.9883720930232558
2,alpha_base,"(1.101e-05, +inf)",86,iteration2_max_fuel_temp,iter2,primary,1.1513042622129817e-05,1.101645433044332e-05,1.244021147210701e-05,2.7670632153888057,3.757849764561078,1073.5866279069767,1073.5198974609375,3.8006607927927187,0.9186046511627907
2,alpha_base,"(1.101e-05, +inf)",86,iteration2_max_monolith_temp,iter2,primary,1.1513042622129817e-05,1.101645433044332e-05,1.244021147210701e-05,3.108062545421507,4.27198166851832,1036.04011627907,1035.8162841796875,4.185072225502193,0.9069767441860465
2,alpha_base,"(1.101e-05, +inf)",86,iteration2_max_global_stress,iter2,primary,1.1513042622129817e-05,1.101645433044332e-05,1.244021147210701e-05,5.091965282351471,6.811396535235274,174.39779069767442,175.22802734375,7.809277306135976,0.9534883720930233
