level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma,abs_rank
2,nu,iteration2_max_fuel_temp,iter2,primary,-0.0007470639325184106,-0.011147423947609546,0.022982288504671725,-0.007026658382322251,-0.002746435545573074,0.017856319550147513,-0.019188926788228197,0.017856319550147513,0.08909550893043823,0.05090565828187762,6.0
2,SS316_alpha,iteration2_max_fuel_temp,iter2,primary,-0.018914559641047445,-0.01750173150198854,-0.01057993471953796,-0.031411582610170595,0.0007839769091319464,-0.002035192131308817,-1.5437164259311537e-05,-0.002035192131308817,-0.0495984157907534,-0.07305131845934384,7.0
2,E_slope,iteration2_max_fuel_temp,iter2,primary,-0.09255620446603291,-0.09013749996612834,-0.12609303271608158,-0.11740620509810025,0.015710573837798548,0.0016911338626921402,0.017285369734473498,0.0016911338626921402,-0.04146598422774377,0.004306269534570456,8.0
2,alpha_base,iteration2_max_monolith_temp,iter2,primary,-0.0633781645533053,-0.059993908991024,-0.044193098598550515,-0.02907229202552357,-0.11230664420666397,-0.12267564640448275,-0.0797097683155298,-0.12267564640448275,-0.3859256294610183,-0.3977230175737436,1.0
2,SS316_T_ref,iteration2_max_monolith_temp,iter2,primary,0.4101920419025097,0.400765443359445,0.5027293510620752,0.5119109600618126,0.0302379617323212,0.07554352178266557,0.030302230143108306,0.07554352178266557,0.451852295395174,0.46408896766977775,2.0
2,SS316_k_ref,iteration2_max_monolith_temp,iter2,primary,-0.6460489445285353,-0.6164777502821369,-0.8443254451662814,-0.84421489091682,-0.056082454816472345,-0.05761340450626226,-0.05047573646904125,-0.05761340450626226,-0.7161261537424075,-0.6901661823280013,3.0
2,alpha_slope,iteration2_max_monolith_temp,iter2,primary,-0.03688985538838195,0.012644408942280095,-0.029290934423758446,0.01581297000077699,-0.05601524473334881,-0.04701574852932306,-0.024694394231200505,-0.04701574852932306,-0.26119955886383345,-0.2088305289273872,4.0
2,E_intercept,iteration2_max_monolith_temp,iter2,primary,0.027363404542370743,0.048600706035512704,0.007134630872291968,0.017110618156262376,0.05176192317451074,0.022326735488825977,0.07910140502376807,0.022326735488825977,0.22446837970152267,0.2511260611218478,5.0
2,SS316_alpha,iteration2_max_monolith_temp,iter2,primary,-0.01764743948661504,-0.016438686983048623,0.029671927961268593,0.00666219463710477,-0.0019924293245430413,-0.009716730340381995,0.0011724587593903387,-0.009716730340381995,0.09252554164254743,0.09012178901277186,6.0
2,E_slope,iteration2_max_monolith_temp,iter2,primary,-0.09303518615398017,-0.09026864909486987,-0.13064177933572757,-0.11714254422574022,0.015354158046532661,-0.002972750913289261,0.019023566893569942,-0.002972750913289261,-0.039518902895369745,-0.012023017651203812,7.0
2,nu,iteration2_max_monolith_temp,iter2,primary,-0.0010434150375020937,-0.01094343235726232,0.025186387880838868,-0.01197395144780364,-0.012293921516762816,0.0006545120639799095,-0.020644708473369276,0.0006545120639799095,-0.02830756295999221,-0.05726861955097912,8.0
2,E_intercept,iteration2_max_global_stress,iter2,primary,0.7696733600008543,0.7563381305036022,0.7805201539755774,0.7606038393649199,0.20131248009445712,0.1858980713874694,0.18231576482650624,0.1858980713874694,0.5720026910053364,0.555820353909796,1.0
2,nu,iteration2_max_global_stress,iter2,primary,0.18602728003049243,0.1798082050934018,0.20846144645068956,0.19617880453304626,0.03161047666576783,0.05478256499337623,0.014498932238131177,0.05478256499337623,-0.12194146287798054,-0.13870214645046575,2.0
2,SS316_T_ref,iteration2_max_global_stress,iter2,primary,0.15619949085695073,0.13559415375498188,0.15807609342723306,0.13217423099254097,0.006652702600219034,0.051433496336921916,0.015310687942547923,0.051433496336921916,0.2880488159675621,0.284466616132023,3.0
2,SS316_alpha,iteration2_max_global_stress,iter2,primary,0.047633409041576036,0.03046626033895277,0.05838866170013887,0.041721305069193526,0.03450119808367146,0.0474051063444959,0.019527586255007376,0.0474051063444959,-0.05045461243884086,-0.0564972999279287,4.0
2,alpha_base,iteration2_max_global_stress,iter2,primary,0.2836931731469404,0.24768466625121102,0.31773012972587267,0.2807153356587923,-0.029355744984506243,-0.039826880283391805,-0.021713072705461196,-0.039826880283391805,-0.024912924081182595,-0.02214286521434209,5.0
2,SS316_k_ref,iteration2_max_global_stress,iter2,primary,-0.1844355488564121,-0.18387546376154454,-0.19685297382136144,-0.18870025380153702,-0.011118457175999704,-0.03468309806686642,7.378117481257212e-05,-0.03468309806686642,-0.4451266533225116,-0.41105690819139595,6.0
2,E_slope,iteration2_max_global_stress,iter2,primary,0.20390083414955218,0.1943689306037078,0.19140672491986593,0.1884030826110135,0.03386090752061652,-0.010821580166107202,0.061589936066574966,-0.010821580166107202,0.15752113184766375,0.1772910907002637,7.0
2,alpha_slope,iteration2_max_global_stress,iter2,primary,0.2099095457463187,0.22964372160546442,0.22319150396931817,0.24340611135643664,0.009335974997022572,0.010723749393233957,0.026067651126098722,0.010723749393233957,-0.009394024868590683,-0.005190977046564508,8.0
2,E_slope,iteration2_wall2,iter2,primary,-0.04246493525808814,-0.06402895221475963,-0.05284120019474296,-0.07294427934537638,-0.13029908356137979,-0.11954814798993281,-0.12152132125449609,-0.11954814798993281,-0.0442743413817615,-0.01550558812455404,1.0
2,alpha_base,iteration2_wall2,iter2,primary,0.8755058306636713,0.8781102210682212,0.878964580451616,0.8814437544105612,0.05243388357004647,0.09594230431762892,0.017777375128534417,0.09594230431762892,-0.31819918567651057,-0.2851227111956468,2.0
2,E_intercept,iteration2_wall2,iter2,primary,-0.0753894863120094,-0.08107528308551086,-0.07031738777638644,-0.07559859359246099,0.0965428491922214,0.09430241526111904,0.0680345064249121,0.09430241526111904,-0.01046427464179614,-0.038850201800170896,3.0
2,SS316_alpha,iteration2_wall2,iter2,primary,0.07630896186215345,0.0888549431064822,0.08234025379334625,0.09509125256369812,0.06958341031005531,0.08245990582597168,0.06308277973961919,0.08245990582597168,-0.04376351042591955,-0.0438068673559698,4.0
2,nu,iteration2_wall2,iter2,primary,0.27398160412615574,0.21843937397925148,0.26450046612502365,0.21177048421470226,-0.10041291301617648,-0.07863460575953214,-0.12321838844383902,-0.07863460575953214,-0.23096700373523135,-0.23934257200752415,5.0
2,SS316_T_ref,iteration2_wall2,iter2,primary,0.03632122912208684,-0.015330199124033739,0.026404148507507455,-0.022027424293795433,-0.041748145716469565,-0.02362841683359444,-0.06904050533147722,-0.02362841683359444,0.07222110885997383,0.1051523134195101,6.0
2,SS316_k_ref,iteration2_wall2,iter2,primary,0.0710223856081935,0.06052346545788403,0.0745874360621804,0.059533226697074164,0.013178007114786188,0.00998635940862757,0.00540310347172209,0.00998635940862757,-0.32010425193550734,-0.29179292158271264,7.0
2,alpha_slope,iteration2_wall2,iter2,primary,0.4394214712464285,0.3985966951931139,0.43835916034908734,0.3962777645786828,-0.01467016503526674,-0.004777231172785739,-0.034975457890435865,-0.004777231172785739,-0.23672486833836412,-0.22036376567218713,8.0
