level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_Hcore_after,iter2,secondary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,0.01979930850045966,0.0257148469075316,152.17615628277554,152.1920166015625,0.17284311362570906,1.0
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_wall2,iter2,primary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,0.0010441176627363831,0.0013210358558063363,29.90409858290488,29.90423583984375,0.003146875066976853,0.9885057471264368
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_keff,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,0.007382773073089324,0.010519902007437541,1.1133589146381258,1.1092698574066162,0.06348728178732696,1.0
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_avg_fuel_temp,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,2.953151181977376,3.7835737977136503,1015.4097701149425,1015.65869140625,3.9089931625880703,0.9195402298850575
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_max_fuel_temp,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,5.194029498922424,6.656702081133368,1102.1427586206894,1102.48486328125,6.754649874552497,0.9195402298850575
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_max_monolith_temp,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,5.752647270114938,7.458632805110762,1067.0874712643679,1067.5145263671875,7.763763832728856,0.9080459770114943
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_max_global_stress,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,7.612881739824669,10.096196376269992,201.16068965517246,201.46897888183594,11.414773434038834,0.9425287356321839
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_monolith_new_temperature,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,0.9876195289466405,1.2600033307348406,955.1418521134431,955.2343139648438,1.2832777404595912,0.9080459770114943
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_Hcore_after,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,0.012498556400813392,0.016730584673186673,152.3064406242714,152.31362915039062,0.10008535823831716,1.0
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration1_wall2,iter1,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,0.0010173624179257745,0.0012290401997108488,29.91955905041746,29.91995620727539,0.003303724215043435,1.0
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration2_keff,iter2,primary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,0.00021357143643340655,0.00027223345081096514,1.103569500135207,1.1036401987075806,0.00034549261772806,0.9655172413793104
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration2_avg_fuel_temp,iter2,secondary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,1.8347039724766476,2.3332980327862636,1000.7647126436782,1000.9168701171875,2.2713578688489924,0.9080459770114943
