seed,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi
2028,iteration2_max_global_stress,SS316_alpha,0.004927053443161107,-0.0016000743797190912,0.011454181266041304,0.005313616637318171,0.005131893292795655,0.005495339981840686
2028,iteration2_keff,E_slope,-0.001385615137819205,-0.012622447381810453,0.009851217106172042,0.00504109314039776,0.004646663163670413,0.005435523117125108
2028,iteration2_keff,E_intercept,0.004759886920439525,-0.004663661231094397,0.014183435071973446,0.007120263999231916,0.006646478182480631,0.0075940498159832006
2028,iteration2_keff,nu,0.014457760274448702,0.004561700875403068,0.024353819673494335,0.01991435946320663,0.01922718437133211,0.02060153455508115
2028,iteration2_keff,alpha_base,0.770838850386152,0.7676881408711342,0.7739895599011697,0.7714579930688419,0.7631799905780632,0.7797359955596206
2028,iteration2_keff,alpha_slope,0.19826344142220584,0.18931293252314937,0.2072139503212623,0.19559211817928648,0.19296744091488563,0.19821679544368734
2028,iteration2_keff,SS316_T_ref,0.0033787334463389216,-0.006718992738267847,0.013476459630945691,0.010914606228913977,0.010369098658750733,0.01146011379907722
2028,iteration2_keff,SS316_k_ref,0.009154005866834531,-0.001129948912327974,0.019437960645997038,0.005976990655881895,0.005522044027993059,0.006431937283770732
2028,iteration2_keff,SS316_alpha,0.004625258298706607,-0.006577762220755254,0.015828278818168468,0.009563698580707205,0.009130178778794809,0.009997218382619601
2029,iteration2_max_global_stress,E_slope,0.037793062462265686,0.03025190950060535,0.04533421542392602,0.03948740133262832,0.038729022454639606,0.04024578021061703
2029,iteration2_max_global_stress,E_intercept,0.5477117078452064,0.5438743150444606,0.5515491006459522,0.5641649571605746,0.5598366573203721,0.568493257000777
2029,iteration2_max_global_stress,nu,0.059948612521062004,0.05341946235805071,0.06647776268407331,0.06771305167828372,0.06642671059863707,0.06899939275793036
2029,iteration2_max_global_stress,alpha_base,0.21180289634439375,0.205959675140193,0.2176461175485945,0.21776261989388682,0.21519001641664903,0.2203352233711246
2029,iteration2_max_global_stress,alpha_slope,0.04813937870616878,0.04196209100660318,0.054316666405734376,0.04793659386792828,0.04691499638837445,0.048958191347482104
2029,iteration2_max_global_stress,SS316_T_ref,0.02171222447308198,0.014831479230916607,0.02859296971524735,0.03315704786926671,0.03242184012241684,0.03389225561611658
2029,iteration2_max_global_stress,SS316_k_ref,0.06875375037875134,0.06223653559167148,0.07527096516583119,0.07365534198836764,0.07240615387653791,0.07490453010019736
2029,iteration2_max_global_stress,SS316_alpha,0.0031100628930689545,-0.0027528817312437296,0.008973007517381639,0.005351570694742656,0.005112386424552189,0.005590754964933122
2029,iteration2_keff,E_slope,0.0022707620433843824,-0.007977146921645598,0.012518671008414362,0.005197422713003258,0.004705074291516655,0.005689771134489862
2029,iteration2_keff,E_intercept,0.011380891496817978,0.0013661259121510935,0.021395657081484862,0.007049653038272839,0.006597361729369028,0.00750194434717665
2029,iteration2_keff,nu,0.02247319002150259,0.012370774103719123,0.03257560593928605,0.0199814105281058,0.019211305164844882,0.020751515891366718
2029,iteration2_keff,alpha_base,0.7721075716650354,0.7691139005655374,0.7751012427645334,0.7747402518692205,0.7662835618341232,0.7831969419043178
2029,iteration2_keff,alpha_slope,0.1945748083748939,0.18533588748142174,0.20381372926836608,0.19747558477052732,0.19529528504343663,0.199655884497618
2029,iteration2_keff,SS316_T_ref,0.007584361045052514,-0.0021905292731774816,0.01735925136328251,0.011189244144282214,0.010541580993177962,0.011836907295386466
2029,iteration2_keff,SS316_k_ref,0.010079817473293434,0.0006989232407087816,0.019460711705878084,0.005959323818328482,0.005629617124268849,0.006289030512388116
