case_id,folder_name,subfolder_name,iteration,平均燃料温度,燃料最高温度,单体最高温度,全局最大应力,fuel_new_temperature,monolith_new_temperature,fuel_temp_error,monolith_temp_error,max_fuel_center_temp,max_monolith_temp,Hcore_before,Hcore_after,wall1,wall2,pitch_fuel,pitch_HP,Hcore,monolith_volume_change,total_time,thermal_run_time
2025_05_28_22_02_26_13,2025_05_28_22_02_26,13,2,971.09,1038.37,1024.98,129.4,971.0900521466376,943.1276180264464,0.03212457977551754,0.00423920525709646,1038.3671685970448,1024.979057236264,152.164416233815,152.16497666997728,8.84,29.91861195800408,1.599987420124156,2.771259503126089,152.16497666997728,1.3546015768419623e-05,469.07807087898254,N/A
2025_05_28_22_02_26_13,2025_05_28_22_02_26,13,3,971.09,1038.37,1024.98,129.4,971.0906627528375,943.1278005994548,8.297401375039569e-06,4.001370579282564e-06,1038.3677068558468,1024.978110853733,152.16497666997728,152.1649772012364,8.84,29.918611743836856,1.599999988546676,2.7712812722724647,152.1649772012364,1.2194736373366301e-08,474.1901879310608,N/A
2025_05_28_22_02_26_21,2025_05_28_22_02_26,21,1,967.85,1031.07,1025.94,130.55,967.8495472509231,942.9350096944933,1.1177398280350177,1.0760418572292774,1031.0720491498987,1025.9385724784584,150.0,152.2452007810193,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.2452007810193,0.03584755578937509,463.51379203796387,N/A
2025_05_28_22_02_26_21,2025_05_28_22_02_26,21,2,969.9,1035.31,1024.97,129.4,969.9013355131317,943.1283828063487,0.029165621420280525,0.004256037649285342,1035.3105565880655,1024.9747408885787,152.2452007810193,152.24578722190896,8.84,29.918610996973424,1.599987368730162,2.77125941410908,152.24578722190896,1.344754918716792e-05,516.8698019981384,N/A
2025_05_28_22_02_26_21,2025_05_28_22_02_26,21,3,969.9,1035.31,1024.97,129.39,969.9018914211356,943.128572402299,7.678145713050343e-06,4.1552195957636295e-06,1035.3110010720616,1024.97379782915,152.24578722190896,152.24578779692015,8.84,29.91861073582165,1.5999999860340164,2.7712812679204104,152.24578779692015,1.5350462813218496e-08,526.7956030368805,N/A
2025_05_28_22_02_26_9,2025_05_28_22_02_26,9,1,968.54,1032.84,1025.94,130.55,968.5351548521464,942.9350096944933,1.1188872884554752,1.0760418572292774,1032.8429529756586,1025.9385724784584,150.0,152.54999903457895,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.54999903457895,0.03777395358039755,469.57020378112793,N/A
2025_05_28_22_02_26_9,2025_05_28_22_02_26,9,2,970.68,1037.3,1024.96,129.38,970.6826611604638,943.131009709473,0.03023159888631496,0.0043138543668782454,1037.3003932651827,1024.9595390033653,152.54999903457895,152.5506843440263,8.84,29.918607501565752,1.5999871818027636,2.7712590903413283,152.5506843440263,1.3063148399025539e-05,518.5776419639587,N/A
2025_05_28_22_02_26_9,2025_05_28_22_02_26,9,3,970.68,1037.3,1024.96,129.38,970.6832457028647,943.1312055780493,7.987443906251597e-06,4.292444491525766e-06,1037.3008791898542,1024.958594588116,152.5506843440263,152.55068502890833,8.84,29.918607283099885,1.5999999883167897,2.77128127187429,152.55068502890833,1.151137994014316e-08,523.35755443573,N/A
2025_05_28_22_02_26_6,2025_05_28_22_02_26,6,1,967.85,1031.07,1025.94,130.55,967.8472787691896,942.9350096944933,1.1177360314128697,1.0760418572292774,1031.066190728573,1025.9385724784584,150.0,152.54999903457895,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.54999903457895,0.03777395358039755,472.499089717865,N/A
2025_05_28_22_02_26_6,2025_05_28_22_02_26,6,2,969.57,1034.44,1024.96,129.38,969.5700019850746,943.1310540313777,0.02448883945514353,0.004314829868039935,1034.4439176802557,1024.9593845378722,152.54999903457895,152.5506844990041,8.84,29.91860746105975,1.5999871796365837,2.771259086589395,152.5506844990041,1.306509926237997e-05,518.1513991355896,N/A
2025_05_28_22_02_26_6,2025_05_28_22_02_26,6,3,969.57,1034.44,1024.96,129.38,969.5704709162352,943.1312702172764,6.506606739610671e-06,4.737692417648468e-06,1034.444036869122,1024.9583348698402,152.5506844990041,152.55068525492868,8.84,29.91860720138044,1.5999999861127596,2.7712812680567978,152.55068525492868,1.4064244903852043e-08,519.5536906719208,N/A
2025_05_28_22_02_26_29,2025_05_28_22_02_26,29,1,967.59,1030.39,1025.94,130.55,967.5854291529346,942.9350096944933,1.1172977893772964,1.0760418572292774,1030.3898403734247,1025.9385724784584,150.0,152.31080790723956,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.31080790723956,0.03626285967996609,466.3384675979614,N/A
2025_05_28_22_02_26_29,2025_05_28_22_02_26,29,2,969.94,1035.41,1024.97,129.39,969.9400751472897,943.128960345216,0.033596797833926335,0.004268748967522451,1035.4065239088636,1024.9714315308102,152.31080790723956,152.31141779008536,8.84,29.91861022630257,1.5999873275162289,2.771259342724454,152.31141779008536,1.3351744635044768e-05,522.3985185623169,N/A
2025_05_28_22_02_26_29,2025_05_28_22_02_26,29,3,969.94,1035.41,1024.97,129.39,969.9407153079238,943.1291362961663,8.837106157504333e-06,3.856124464546344e-06,1035.407270832433,1024.9704942684057,152.31141779008536,152.3114183433928,8.84,29.918610015319594,1.599999988716964,2.771281272567412,152.3114183433928,1.1820115002165965e-08,522.9518320560455,N/A
