total_iterations,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_keff,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_keff,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2
2,-61615762.45853707,210055444196.87564,0.32904845260280274,1.0141854963635646e-05,5.386110775989091e-09,1167.281858676719,27.012515669379496,0.01311835263126038,1.1133589146381253,1013.65,1099.15,1063.5953760194554,240.86,954.5319458151712,152.41958142411755,29.93644534141539,1.103055758793596,1000.6,1073.61,1035.9779265229704,195.68,950.658518900863,152.406787927769,29.933275351401406
2,-70090192.77877069,191910085659.57065,0.29889629020369335,9.801326440243421e-06,4.386409991053071e-09,757.3261089467048,20.761295616707073,0.01361602492080352,1.1133589146381238,1006.86,1087.02,1049.7720301480367,157.82,952.3438587029533,152.18486063147142,29.902083841444856,1.1046485009102647,995.46,1064.18,1025.2664171142471,126.92,949.2987701384059,152.17597264200498,29.899749110364905
2,-76689530.60190515,219314517425.4988,0.3191534220214019,1.093955884376984e-05,4.5526171337641765e-09,824.9246764263769,22.963207729225587,0.009999133564409507,1.1133589146381178,1012.83,1097.75,1062.009533464424,226.95,954.2189227797403,152.38309555676892,29.933941598037293,1.103623809559462,1003.0,1078.43,1041.35586192109,194.78,951.3299900607212,152.37400383472675,29.931649843118823
2,-69894091.46835987,169132690363.03625,0.2841839581143732,8.699685897196505e-06,5.16672231813704e-09,950.3899136386196,23.94398237112235,0.012298585429322797,1.1133589146381222,1015.14,1101.78,1066.6133066182697,139.07,955.019761038405,152.17515652785838,29.89373950765853,1.1040969990037288,1002.31,1077.24,1039.887416586575,114.52,951.1149374529375,152.16338455582056,29.891002980210345
2,-70090192.77877069,191910085659.57065,0.29889629020369335,9.801326440243421e-06,4.961640070305999e-09,757.3261089467048,20.761295616707073,0.01361602492080352,1.1133589146381218,1020.82,1111.7,1078.0318669384023,198.52,956.9243589190362,152.3020345730535,29.91621981550557,1.1038050323633515,1004.2,1080.59,1043.7548721079158,157.19,951.6628552269926,152.2856506125341,29.912390131627905
2,-76689530.60190515,186130225528.31912,0.3191534220214019,1.093955884376984e-05,5.43920510625715e-09,824.9246764263769,22.963207729225587,0.009999133564409507,1.1133589146381224,1012.83,1097.75,1062.0095334644222,185.13,954.2189227797403,152.5422557543936,29.951042391393834,1.1025170608907484,1002.96,1078.17,1041.0975634827985,159.04,951.3247054399052,152.53229850507418,29.948587050901395
2,-78423417.23387909,229592542921.80136,0.3398227767665391,1.2318981029470678e-05,4.414537848818887e-09,903.1139539852263,23.230111548201695,0.014500999945289847,1.1133589146381264,1014.69,1101.0,1065.7181940531507,274.82,954.8743186549409,152.55791798561256,29.964922514301538,1.1022742130587844,999.76,1071.81,1034.160958284065,216.73,950.4410434087788,152.54325198231768,29.961106151803193
2,-78423417.23387909,189894367945.0299,0.3398227767665391,1.2318981029470678e-05,4.414537848818887e-09,903.1139539852263,23.230111548201695,0.014280464143319923,1.113358914638123,1014.37,1100.43,1065.068193651252,203.42,954.7691010237758,152.55756960684212,29.96483707873958,1.1024891160546815,999.78,1071.83,1034.0999814488655,161.36,950.4397388894809,152.54324767058404,29.961104414488013
2,-69737171.2394831,229592542921.80136,0.3398227767665391,1.2318981029470678e-05,4.414537848818887e-09,903.1139539852263,23.230111548201695,0.014280464143319923,1.113358914638139,1014.37,1100.43,1065.068193651252,288.3,954.769101023776,152.55756960684215,29.96483707874032,1.1029458362592355,999.77,1072.05,1034.4033480603462,228.19,950.4441890214525,152.5432623792937,29.96109966429506
2,-70090192.77877069,191910085659.57065,0.29889629020369335,9.801326440243421e-06,4.961640070305999e-09,757.3261089467048,20.761295616707073,0.013534210508164009,1.1133589146381273,1006.79,1086.89,1049.6236146983695,163.82,952.3221683734632,152.2877014100589,29.91292643997297,1.1037064271583208,995.45,1064.2,1025.3342265964327,131.68,949.2916073024104,152.27828017985019,29.910486686266612
2,-71491103.9023539,186130225528.31912,0.3191534220214019,1.093955884376984e-05,4.5526171337641765e-09,824.9246764263769,22.963207729225587,0.009999133564409507,1.1133589146381266,1012.83,1097.75,1062.0095334644238,183.12,954.2189227797403,152.3830955567689,29.933941598035098,1.1031324303235355,1003.01,1078.34,1041.2647999862145,157.25,951.3293144522548,152.37400170986143,29.93164691397383
2,-60445993.61280912,191910085659.57065,0.29889629020369335,9.801326440243421e-06,4.961640070305999e-09,757.3261089467048,20.761295616707073,0.01361602492080352,1.1133589146381262,1006.86,1087.02,1049.7720301480367,176.05,952.3438587029533,152.2877688889532,29.912942592583732,1.1038434639864811,995.54,1064.47,1025.5788989422372,141.64,949.3915764426105,152.27859073999912,29.91055329565315
2,-69737171.2394831,189894367945.0299,0.28350798432419333,1.1219587777820314e-05,5.192596934563292e-09,918.1598965192433,21.03279095269602,0.014500999945289847,1.1133589146381297,1015.05,1101.63,1066.4388151264986,198.31,954.9913591288192,152.54069513052852,29.943706375077532,1.1027235116769791,998.38,1069.36,1031.36687712917,151.21,950.0771958646602,152.5239847983851,29.939635996437552
2,-61615762.45853707,211188645430.28915,0.3701948101116895,1.0141854963635646e-05,5.386110775989091e-09,1167.281858676719,27.012515669379496,0.01311835263126038,1.1133589146381144,1013.65,1099.15,1063.5953760194545,258.64,954.531945815171,152.41958142378633,29.94608711705155,1.1029829937125102,1000.59,1073.8,1036.142107831112,210.0,950.6635967493722,152.406804683136,29.942821255199437
2,-70090192.77877069,191910085659.57065,0.29889629020369335,9.6230128796832e-06,4.961640070305999e-09,757.3261089467048,20.761295616707073,0.01361602492080352,1.113358914638123,1006.86,1087.02,1049.7720301480365,162.0,952.3438587029534,152.26229651519415,29.909408085315476,1.1039207536145508,995.44,1063.72,1025.0362778527472,130.15,949.3056924386699,152.25293282345106,29.906984636358697
2,-69894091.46835987,169132690363.03625,0.2841839581143732,8.699685897196505e-06,4.788877726770969e-09,950.3899136386196,22.26644668740329,0.012298585429322797,1.1133589146381206,1019.33,1109.11,1075.047163757471,142.78,956.4184377352342,152.11127269360833,29.887526341633745,1.1044035593805808,1004.1,1080.74,1043.724647764117,115.09,951.6297996752224,152.09742843521846,29.884345474959517
2,-70090192.77877069,191910085659.57065,0.30588639221338626,9.801326440243421e-06,4.961640070305999e-09,757.3261089467048,20.761295616707073,0.01361602492080352,1.1133589146381173,1006.86,1087.02,1049.7720301480358,165.67,952.3438587029533,152.28776888891193,29.914492142889785,1.1032540930016934,995.44,1063.96,1025.160543848861,133.13,949.2893841257794,152.27827327354623,29.912031928748622
2,-78423417.23387909,229592542921.80136,0.3398227767665391,1.2318981029470678e-05,5.192596934563292e-09,903.1139539852263,23.230111548201695,0.014280464143319923,1.1133589146381289,1014.37,1100.43,1065.0681936512515,285.93,954.7691010237758,152.69738854853193,29.980105981330535,1.1021546751905518,999.74,1071.73,1034.1079506400288,226.69,950.429078861329,152.681914403641,29.97615389204431
2,-69894091.46835987,169132690363.03625,0.2841839581143732,8.699685897196505e-06,5.16672231813704e-09,950.3899136386196,22.26644668740329,0.012298585429322797,1.1133589146381333,1019.33,1109.11,1075.047163757471,146.67,956.4184377352342,152.17937890337038,29.894670328421824,1.103801271727936,1004.08,1080.61,1043.6940349291235,118.12,951.6272829995856,152.1649277900517,29.891375519180794
2,-78423417.23387909,229592542921.80136,0.3398227767665391,1.1219587777820314e-05,4.414537848818887e-09,903.1139539852263,23.230111548201695,0.014280464143319923,1.113358914638119,1014.37,1100.43,1065.068193651252,255.44,954.7691010237759,152.40011960019407,29.94224012184044,1.1030535993430877,999.81,1072.19,1034.366582215925,202.42,950.4542374383149,152.38655714485992,29.93874447454549
2,-76689530.60190515,186130225528.31912,0.3191534220214019,1.093955884376984e-05,4.5526171337641765e-09,877.3990129545246,22.963207729225587,0.009999133564409507,1.1133589146381244,1013.96,1099.7,1064.2321111460233,177.99,954.6342553564999,152.3844035816217,29.9342460981601,1.103714357381723,1003.55,1079.51,1042.5055291731724,152.16,951.4807178870703,152.37447790643435,29.93177010626731
2,-61615762.45853707,211188645430.28915,0.32904845260280274,1.0141854963635646e-05,5.386110775989091e-09,1167.281858676719,27.012515669379496,0.01311835263126038,1.1133589146381355,1013.65,1099.15,1063.595376019455,242.66,954.5319458151712,152.41958142411752,29.93644534141431,1.1035509347696593,1000.59,1073.99,1036.2936525891043,196.68,950.6646364320667,152.40680811417707,29.933283766569183
2,-69894091.46835987,169132690363.03625,0.2841839581143732,8.699685897196505e-06,5.16672231813704e-09,996.1261731309233,22.26644668740329,0.012298585429322797,1.1133589146381158,1020.96,1111.94,1078.3118323551118,149.58,956.9720737663073,152.18105107741485,29.895035510605172,1.103967308766366,1004.73,1081.7,1044.9466121113605,119.42,951.820758837452,152.16551066378173,29.891514082430998
2,-69894091.46835987,230748062920.94272,0.2841839581143732,8.699685897196505e-06,5.16672231813704e-09,950.3899136386196,22.26644668740329,0.012298585429322797,1.113358914638126,1019.33,1109.11,1075.047163757471,235.02,956.4184377352341,152.17937890337038,29.894670328421558,1.1042735127252505,1004.09,1080.85,1043.9146290557028,189.39,951.6092163880255,152.1648733647534,29.891376024408764
2,-78423417.23387909,229592542921.80136,0.3398227767665391,1.2318981029470678e-05,4.414537848818887e-09,903.1139539852263,23.230111548201695,0.014280464143319923,1.113358914638126,1008.71,1090.38,1053.5897135604494,252.53,952.9113416530896,152.55142092399274,29.963316743506116,1.1022215848400259,996.35,1065.54,1027.016175757946,201.42,949.5795395929936,152.54040500659258,29.960288282183807
2,-66664957.7706338,189094209679.59375,0.31741808555784035,9.856048856169854e-06,4.638267956644689e-09,872.9271898405832,24.165959348272914,0.01421805883743161,1.1133589146381309,1011.76,1095.84,1059.8318649763364,178.92,953.8739994358504,152.2423458958011,29.91306629318873,1.103792003173473,999.06,1070.83,1032.8819753141627,144.36,950.2394012761564,152.23139885823517,29.91030988181429
2,-69260512.46730311,208055556447.13977,0.3573353225358934,8.895223948863587e-06,4.349803029273764e-09,764.8692028072123,22.950425173222868,0.012771583676765957,1.1133589146381229,1007.71,1088.57,1051.5331046310243,184.91,952.6033996362909,152.04959319246652,29.895239090302887,1.104421641926719,997.63,1068.36,1029.92953998346,154.06,949.8599724314873,152.04199026165108,29.89321980361125
2,-69260512.46730311,208055556447.13977,0.3573353225358934,8.895223948863587e-06,4.349803029273764e-09,945.444691829243,23.009185756454734,0.012771583676765957,1.1133589146381304,1012.07,1096.39,1060.4566660267674,197.33,953.9725396084474,152.05339119935851,29.8961728289692,1.1041504354207514,999.5,1072.0,1033.9571358485473,160.09,950.3414972793354,152.04332401327815,29.8935749833009
2,-76484682.42690542,216830899458.95,0.311871880948096,1.0583340903343603e-05,4.079685192147344e-09,843.9671377634605,20.152139965536684,0.012112536410168896,1.1133589146381193,1020.23,1110.68,1076.8577873015397,230.14,956.7247344727122,152.25457669454752,29.91773955470196,1.104153330537276,1004.31,1080.84,1044.0296796579992,184.2,951.6809759449852,152.23975338501222,29.914133153132756
2,-87376438.53583664,224909425156.15012,0.329403157146694,9.995672008570701e-06,5.272705576534182e-09,843.9671377634605,20.462008562683483,0.014987444299643382,1.1133589146381366,1027.2,1122.67,1090.7166105755682,261.08,959.124241380738,152.39320634985373,29.934762573593122,1.103325158608209,1005.06,1082.06,1045.515746424573,195.72,951.9190616863125,152.3698033651517,29.929285046569554
