case_id,folder_name,subfolder_name,total_iterations,final_fuel_temp_error,final_monolith_temp_error,fuel_converged,monolith_converged,final_avg_fuel_temp,final_max_fuel_temp,final_max_monolith_temp,final_max_stress,final_Hcore,final_wall1,final_wall2,final_pitch_fuel,final_pitch_HP,total_simulation_time,k_eff,std
2025_05_28_22_02_26_29,2025_05_28_22_02_26,29,3,8.837106157504333e-06,3.856124464546344e-06,True,True,969.94,1035.41,1024.97,129.39,152.3114183433928,8.84,29.918610015319594,1.599999988716964,2.771281272567412,1511.8394584655762,N/A,N/A
2025_05_28_22_02_26_2,2025_05_28_22_02_26,2,3,6.685666788598013e-06,4.88909191662302e-06,True,True,969.46,1034.15,1024.96,129.38,152.55068528524114,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,1451.2225878238678,N/A,N/A
2025_05_28_22_02_26_7,2025_05_28_22_02_26,7,3,6.7783388201912005e-06,4.954039764162035e-06,True,True,969.39,1033.99,1024.96,129.38,152.55068531453728,8.84,29.918607182219105,1.599999985491479,2.771281266980708,1510.7732932567596,N/A,N/A
2025_05_28_22_02_26_27,2025_05_28_22_02_26,27,3,8.82647691267413e-06,3.925117259074418e-06,True,True,969.85,1035.18,1024.97,129.39,152.36659233845145,8.84,29.918609362415335,1.5999999879393072,2.7712812712204706,1509.0344696044922,N/A,N/A
2025_05_28_22_02_26_20,2025_05_28_22_02_26,20,3,7.984310810025768e-06,3.905024906196522e-06,True,True,970.87,1037.79,1024.98,129.4,152.16497722218222,8.84,29.918611736074215,1.5999999873518402,2.771281270202948,1510.1827025413513,N/A,N/A
2025_05_28_22_02_26_0,2025_05_28_22_02_26,0,3,6.685666788598013e-06,4.88909191662302e-06,True,True,969.46,1034.15,1024.96,129.38,152.55068528524117,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,1454.9030845165253,N/A,N/A
2025_05_28_22_02_26_17,2025_05_28_22_02_26,17,3,8.227829065601833e-06,3.807630517269348e-06,True,True,970.83,1037.69,1024.98,129.4,152.16497723616737,8.84,29.91861173740807,1.5999999876639381,2.7712812707435175,1520.7045512199402,N/A,N/A
2025_05_28_22_02_26_15,2025_05_28_22_02_26,15,3,8.16936794457965e-06,3.876834985780451e-06,True,True,971.09,1038.37,1024.98,129.4,152.1994204785434,8.84,29.918611346505855,1.5999999877585682,2.7712812709074215,1511.212694644928,N/A,N/A
2025_05_28_22_02_26_4,2025_05_28_22_02_26,4,3,6.767761724948564e-06,4.7760122982896624e-06,True,True,969.46,1034.16,1024.97,129.39,152.37107914211848,8.84,29.918609290949533,1.5999999852895803,2.7712812666310094,1514.8606276512146,N/A,N/A
2025_05_28_22_02_26_18,2025_05_28_22_02_26,18,3,8.427734861931474e-06,3.887133128042338e-06,True,True,970.34,1036.43,1024.98,129.4,152.16497733397085,8.84,29.9186116828048,1.5999999886807574,2.7712812725047002,1506.2570486068726,N/A,N/A
2025_05_28_22_02_26_1,2025_05_28_22_02_26,1,3,6.685666788598013e-06,4.88909191662302e-06,True,True,969.46,1034.15,1024.96,129.38,152.55068528524117,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,1420.175568819046,N/A,N/A
2025_05_28_22_02_26_22,2025_05_28_22_02_26,22,3,8.89104709678688e-06,4.048195326480181e-06,True,True,969.85,1035.19,1024.97,129.39,152.31141837314226,8.84,29.918609989244384,1.5999999882520686,2.7712812717621893,1517.3195052146912,N/A,N/A
2025_05_28_22_02_26_25,2025_05_28_22_02_26,25,3,8.89104709678688e-06,4.048195326480181e-06,True,True,969.85,1035.19,1024.97,129.39,152.31141837275175,8.84,29.918609989244384,1.5999999882520686,2.7712812717621893,1424.5077300071716,N/A,N/A
2025_05_28_22_02_26_16,2025_05_28_22_02_26,16,3,8.282948649141024e-06,3.91982685767951e-06,True,True,971.09,1038.37,1024.98,129.4,152.2113442519322,8.84,29.91861122939976,1.5999999878342062,2.7712812710384305,1509.9187397956848,N/A,N/A
2025_05_28_22_02_26_28,2025_05_28_22_02_26,28,3,8.905521579469363e-06,3.957562981844002e-06,True,True,969.96,1035.47,1024.97,129.39,152.3114183426494,8.84,29.918610004732415,1.599999988471405,2.771281272142091,1516.6846287250519,N/A,N/A
2025_05_28_22_02_26_26,2025_05_28_22_02_26,26,3,8.85467388174267e-06,3.858279834695215e-06,True,True,969.85,1035.19,1024.98,129.4,152.16445578288779,8.84,29.918611645170692,1.5999999871417545,2.771281269839069,1521.3802480697632,N/A,N/A
2025_05_28_22_02_26_10,2025_05_28_22_02_26,10,3,9.24319384974648e-06,3.685389313878883e-06,True,True,970.8,1037.6,1024.97,129.39,152.3659288194478,8.84,29.918609438831197,1.599999987600632,2.771281270633868,1499.831726551056,N/A,N/A
