case_id,folder_name,subfolder_name,total_iterations,total_simulation_time,k_eff,std,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,SS316_scale,iteration1_平均燃料温度,iteration1_燃料最高温度,iteration1_单体最高温度,iteration1_全局最大应力,iteration1_fuel_new_temperature,iteration1_monolith_new_temperature,iteration1_fuel_temp_error,iteration1_monolith_temp_error,iteration1_max_fuel_center_temp,iteration1_max_monolith_temp,iteration1_Hcore_before,iteration1_Hcore_after,iteration1_Hcore,iteration1_wall1,iteration1_wall2,iteration1_pitch_fuel,iteration1_pitch_HP,iteration1_monolith_volume_change,iteration1_iteration_time,iteration2_平均燃料温度,iteration2_燃料最高温度,iteration2_单体最高温度,iteration2_全局最大应力,iteration2_fuel_new_temperature,iteration2_monolith_new_temperature,iteration2_fuel_temp_error,iteration2_monolith_temp_error,iteration2_max_fuel_center_temp,iteration2_max_monolith_temp,iteration2_Hcore_before,iteration2_Hcore_after,iteration2_Hcore,iteration2_wall1,iteration2_wall2,iteration2_pitch_fuel,iteration2_pitch_HP,iteration2_monolith_volume_change,iteration2_iteration_time,iteration3_平均燃料温度,iteration3_燃料最高温度,iteration3_单体最高温度,iteration3_全局最大应力,iteration3_fuel_new_temperature,iteration3_monolith_new_temperature,iteration3_fuel_temp_error,iteration3_monolith_temp_error,iteration3_max_fuel_center_temp,iteration3_max_monolith_temp,iteration3_Hcore_before,iteration3_Hcore_after,iteration3_Hcore,iteration3_wall1,iteration3_wall2,iteration3_pitch_fuel,iteration3_pitch_HP,iteration3_monolith_volume_change,iteration3_iteration_time
2025_05_28_22_08_30_25,2025_05_28_22_08_30,25,3,1408.5150442123413,N/A,N/A,-60569613.00605756,215477865570.3523,0.40918328757712685,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,968.45,1032.62,1025.94,130.55,968.4497078028459,942.9350096944933,1.118744280841583,1.0760418572292774,1032.6222455591242,1025.9385724784584,150.0,152.2175171889625,152.2175171889625,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.0356722067005251,470.70742750167847,970.44,1036.69,1024.98,129.4,970.4364921890946,943.1281018637237,0.028002714144638223,0.004249854253995164,1036.6861653388355,1024.9762878611623,152.2175171889625,152.21808500490775,152.21808500490775,8.84,29.91861134353279,1.5999873872634625,2.771259446209698,1.3543824146506967e-05,464.62911319732666,970.44,1036.69,1024.98,129.4,970.4370193347092,943.1283019250243,7.227460477757127e-06,4.3846071259403775e-06,1036.6865212452371,1024.975313471184,152.21808500490775,152.2180855932415,152.2180855932415,8.84,29.918611107805553,1.5999999873936805,2.7712812702754177,1.340010359227599e-08,473.0544979572296
2025_05_28_22_08_30_16,2025_05_28_22_08_30,16,3,1508.06764960289,N/A,N/A,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,5.143546297666273e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,967.81,1030.97,1025.94,130.55,967.8085839997794,942.9350096944933,1.117671270292518,1.0760418572292774,1030.9662430376093,1025.9385724784584,150.0,152.21542630316006,152.21542630316006,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03565896034737362,464.3882496356964,969.23,1033.58,1024.98,129.4,969.2269791292719,943.1281236523284,0.02017385429774634,0.004250333809405698,1033.580741292782,1024.9761752848945,152.21542630316006,152.2160205445491,152.2160205445491,8.84,29.918611312781096,1.5999873856189235,2.771259443361273,1.337241802607233e-05,520.837464094162,969.23,1033.58,1024.98,129.4,969.2273719158795,943.1283595239048,5.4761348162814505e-06,5.169434056988811e-06,1033.5806019922065,1024.975069322159,152.2160205445491,152.2160212703975,152.2160212703975,8.84,29.918611018704656,1.5999999842732575,2.7712812648706864,1.6770256359804888e-08,522.7083179950714
2025_05_28_22_08_30_28,2025_05_28_22_08_30,28,3,1516.224681854248,N/A,N/A,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,912.6853933336497,23.280611731111534,0.013141581848767875,0.00960181789864103,968.06,1031.62,1025.94,130.55,968.0617967159438,942.9350096944933,1.118095057265178,1.0760418572292774,1031.6202824205438,1025.9385724784584,150.0,152.21751718985772,152.21751718985772,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03567220670619651,463.3113431930542,970.05,1035.69,1024.98,129.4,970.0487585709179,943.1281300952628,0.028159173199243638,0.0042504756149078235,1035.6906286428907,1024.976204133434,152.21751718985772,152.2180850888256,152.2180850888256,8.84,29.91861131437559,1.599987385704194,2.7712594435089657,1.3545414285656251e-05,527.2429752349854,970.05,1035.69,1024.98,129.4,970.0492985517192,943.128325655448,7.44300539232518e-06,4.285956596062063e-06,1035.6909878633928,1024.9751855033744,152.2180850888256,152.21808566392275,152.21808566392275,8.84,29.918611057507377,1.5999999862630947,2.7712812683171855,1.5035473234351825e-08,525.5228674411774
2025_05_28_22_08_30_26,2025_05_28_22_08_30,26,3,1512.2456097602844,N/A,N/A,-60569613.00605756,215477865570.3523,0.2982982716141663,1.119722869301229e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,968.45,1032.62,1025.94,130.55,968.4497078028459,942.9350096944933,1.118744280841583,1.0760418572292774,1032.6222455591242,1025.9385724784584,150.0,152.31558975412216,152.31558975412216,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.036293115568069995,465.3428750038147,970.44,1036.68,1024.97,129.39,970.4363192989521,943.1289458234608,0.028000277346124907,0.004268429351540308,1036.6805761047503,1024.9713879139686,152.31558975412216,152.3161802228213,152.3161802228213,8.84,29.918610243185135,1.5999873284190747,2.7712593442882287,1.3478095031019084e-05,523.0322015285492,970.44,1036.68,1024.97,129.39,970.4368496146641,943.129148580373,7.270941515965309e-06,4.443602818026196e-06,1036.680947085771,1024.97042762704,152.3161802228213,152.31618084017086,152.31618084017086,8.84,29.918610005533782,1.5999999872907813,2.771281270097191,1.335302327456992e-08,523.7323517799377
2025_05_28_22_08_30_10,2025_05_28_22_08_30,10,3,1492.9788255691528,N/A,N/A,-61024007.675967924,205780511283.25815,0.2685963196248118,1.0107914833199854e-05,4.11257468071327e-09,939.0162148172784,24.470727601630855,0.013353115818957819,0.008960452356402969,967.98,1031.41,1025.94,130.55,967.9785982167432,942.9350096944933,1.1179558129150513,1.0760418572292774,1031.4053838342707,1025.9385724784584,150.0,152.1526609324204,152.1526609324204,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03526115446936713,465.5820276737213,969.86,1035.22,1024.98,129.4,969.8634219895185,943.1275624276565,0.02674320744829431,0.004237981557788653,1035.2180930729523,1024.979406303737,152.1526609324204,152.15321254575912,152.15321254575912,8.84,29.918612046293088,1.5999874248456754,2.771259511304,1.3597251871636905e-05,514.1169486045837,969.86,1035.22,1024.98,129.4,969.8639298757217,943.1277678219162,7.018548725745024e-06,4.5015391755138935e-06,1035.2184444022073,1024.9784465140647,152.15321254575912,152.1532131341845,152.1532131341845,8.84,29.918611781364874,1.5999999858320586,2.7712812675706093,1.5536596361050906e-08,513.142947435379
2025_05_28_22_08_30_5,2025_05_28_22_08_30,5,3,1483.0185055732727,N/A,N/A,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,4.11257468071327e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,969.25,1034.69,1025.94,130.55,969.2498420119636,942.9350096944933,1.1200834175932444,1.0760418572292774,1034.6889672369043,1025.9385724784584,150.0,152.31823422255968,152.31823422255968,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.036309846936129174,462.72164583206177,971.88,1040.4,1024.97,129.39,971.8841521339187,943.1289194449556,0.036715204495028034,0.004267848774903094,1040.3977864326766,1024.971493633224,152.31823422255968,152.31882377285947,152.31882377285947,8.84,29.918610266739176,1.5999873296786977,2.7712593464699595,1.3482466698130966e-05,513.2724750041962,971.88,1040.4,1024.97,129.39,971.8848495905833,943.1290829259428,9.376414794048963e-06,3.582837139567907e-06,1040.3987515525432,1024.9706737773054,152.31882377285947,152.31882426991578,152.31882426991578,8.84,29.918610071218932,1.5999999895438863,2.7712812739996835,1.105706584918381e-08,506.89187359809875
2025_05_28_22_08_30_23,2025_05_28_22_08_30,23,3,1413.2180879116058,N/A,N/A,-70580548.96076399,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,968.45,1032.62,1025.94,130.55,968.4497078028459,942.9350096944933,1.118744280841583,1.0760418572292774,1032.6222455591242,1025.9385724784584,150.0,152.2175171898577,152.2175171898577,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03567220670619651,476.95672273635864,970.44,1036.69,1024.98,129.4,970.4364921890946,943.1281018637237,0.028002714144638223,0.004249854253995164,1036.6861653388355,1024.9762878611623,152.2175171898577,152.21808500580318,152.21808500580318,8.84,29.91861134353279,1.5999873872634625,2.771259446209698,1.3543824145211234e-05,468.3475646972656,970.44,1036.69,1024.98,129.4,970.4370193347092,943.1283019250243,7.227460477757127e-06,4.3846071259403775e-06,1036.6865212452371,1024.975313471184,152.21808500580318,152.21808559413705,152.21808559413705,8.84,29.918611107805553,1.5999999873936805,2.7712812702754177,1.3400102781489409e-08,467.7789566516876
2025_05_28_22_08_30_8,2025_05_28_22_08_30,8,3,1506.7507450580597,N/A,N/A,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.013353115818957819,0.011142622175432194,969.54,1035.45,1025.94,130.55,969.5446459881779,942.9350096944933,1.1205768133693355,1.0760418572292774,1035.4504361242334,1025.9385724784584,150.0,152.47713809352317,152.47713809352317,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03731415550097984,466.27453207969666,971.88,1040.39,1024.96,129.38,971.8843143114501,943.1302870451841,0.03247525601911017,0.00429794891657109,1040.3896720356643,1024.963611134927,152.47713809352317,152.47778968071927,152.47778968071927,8.84,29.918608489748333,1.5999872346487878,2.7712591818733276,1.320978872132557e-05,525.2990944385529,971.88,1040.39,1024.96,129.38,971.8849461040124,943.13047260599,8.493626219169825e-06,4.066614915645932e-06,1040.3902171113477,1024.962636982873,152.47778968071927,152.47779029991202,152.47779029991202,8.84,29.91860825275578,1.5999999873260122,2.771281270158213,1.3296980084258136e-08,515.0508580207825
2025_05_28_22_08_30_12,2025_05_28_22_08_30,12,3,1443.5138013362885,N/A,N/A,-77286002.7039916,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,967.81,1030.97,1025.94,130.55,967.8085839997794,942.9350096944933,1.117671270292518,1.0760418572292774,1030.9662430376093,1025.9385724784584,150.0,152.16792657313215,152.16792657313215,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03535793804872051,482.0078237056732,969.23,1033.58,1024.98,129.4,969.2270524505009,943.127714848243,0.020174897146639788,0.004241336252496509,1033.583371213244,1024.9785422226405,152.16792657313215,152.16850248322947,152.16850248322947,8.84,29.918611849208574,1.5999874143059902,2.77125949304873,1.3452378408215438e-05,482.4209735393524,969.23,1033.58,1024.98,129.4,969.2274504301739,943.1279459939385,5.548529591589791e-06,5.065905584677441e-06,1033.5832576680218,1024.9774830131416,152.16850248322947,152.16850317405382,152.16850317405382,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1.7152779829996978e-08,478.9514322280884
2025_05_28_22_08_30_30,2025_05_28_22_08_30,30,1,N/A,N/A,N/A,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.011458518631639077,0.00960181789864103,968.64,1033.12,1025.94,130.55,968.6412391108412,942.9350096944933,1.1190648353319517,1.0760418572292774,1033.1169643491785,1025.9385724784584,150.0,152.21751718985772,152.21751718985772,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03567220670619651,410.60532307624817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025_05_28_22_08_30_14,2025_05_28_22_08_30,14,3,1407.49205493927,N/A,N/A,-66548444.53648613,171095616616.73273,0.32381217819880026,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,967.81,1030.97,1025.94,130.55,967.8085839997794,942.9350096944933,1.117671270292518,1.0760418572292774,1030.9662430376093,1025.9385724784584,150.0,152.1679265734412,152.1679265734412,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03535793805067975,474.91244745254517,969.23,1033.58,1024.98,129.4,969.2270524505009,943.127714848243,0.020174897146639788,0.004241336252496509,1033.583371213244,1024.9785422226405,152.1679265734412,152.16850248353853,152.16850248353853,8.84,29.918611849208574,1.5999874143059902,2.77125949304873,1.3452378408390862e-05,469.0996675491333,969.23,1033.58,1024.98,129.4,969.2274504301739,943.1279459939385,5.548529591589791e-06,5.065905584677441e-06,1033.5832576680218,1024.9774830131416,152.16850248353853,152.16850317436297,152.16850317436297,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1.715277922173322e-08,463.3350074291229
2025_05_28_22_08_30_11,2025_05_28_22_08_30,11,3,1504.819636106491,N/A,N/A,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,967.81,1030.97,1025.94,130.55,967.8085839997794,942.9350096944933,1.117671270292518,1.0760418572292774,1030.9662430376093,1025.9385724784584,150.0,152.16792657313215,152.16792657313215,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.03535793804872051,471.23433446884155,969.23,1033.58,1024.98,129.4,969.2270524505009,943.127714848243,0.020174897146639788,0.004241336252496509,1033.583371213244,1024.9785422226405,152.16792657313215,152.16850248322945,152.16850248322945,8.84,29.918611849208574,1.5999874143059902,2.77125949304873,1.345237840862093e-05,519.7052900791168,969.23,1033.58,1024.98,129.4,969.2274504301739,943.1279459939385,5.548529591589791e-06,5.065905584677441e-06,1033.5832576680218,1024.9774830131416,152.16850248322945,152.16850317405382,152.16850317405382,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1.715277942451104e-08,513.7429597377777
2025_05_28_22_08_30_3,2025_05_28_22_08_30,3,3,1411.7770175933838,N/A,N/A,-76331199.98424318,209618376394.45743,0.2685963196248118,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,969.25,1034.69,1025.94,130.55,969.2498420119636,942.9350096944933,1.1200834175932444,1.0760418572292774,1034.6889672369043,1025.9385724784584,150.0,152.4771380933983,152.4771380933983,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,0.037314155500191376,471.2001647949219,971.88,1040.39,1024.96,129.38,971.8838402421813,943.1303031631886,0.036710857562287126,0.004298303665136527,1040.3882577423365,1024.9634936419056,152.4771380933983,152.47778973437818,152.47778973437818,8.84,29.918608467287182,1.5999872334476104,2.7712591797928274,1.3211081110134594e-05,464.2209885120392,971.88,1040.39,1024.96,129.38,971.8845504291525,943.1304717985536,9.547597553350045e-06,3.69568802456532e-06,1040.389206746796,1024.9626399010158,152.47778973437818,152.47779029709312,152.47779029709312,8.84,29.918608250740906,1.5999999884194467,2.771281272052097,1.216985047794804e-08,476.22405433654785
