case_id,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,SS316_scale,k_eff,std
2025_05_28_22_08_30_5,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,4.11257468071327e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_23,-70580548.96076399,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_8,-76331199.98424318,209618376394.45743,0.245740829193624,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.013353115818957819,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_12,-77286002.7039916,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_30,-60569613.00605756,215477865570.3523,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.011458518631639077,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_14,-66548444.53648613,171095616616.73273,0.32381217819880026,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_11,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.010782121444030617,0.008334119110266016,N/A,N/A
2025_05_28_22_08_30_3,-76331199.98424318,209618376394.45743,0.2685963196248118,1.1278538383350823e-05,5.0164593788445e-09,943.9940322510344,27.185053042027583,0.015039500116705065,0.011142622175432194,N/A,N/A
2025_05_28_22_08_30_24,-60569613.00605756,155206984341.83862,0.2982982716141663,1.0503843586367101e-05,4.1629497802436426e-09,786.4958833607611,23.280611731111534,0.013141581848767875,0.00960181789864103,N/A,N/A
2025_05_28_22_08_30_19,-66548444.53648613,171095616616.73273,0.3677101445639173,9.270243021344635e-06,4.873356031742906e-09,915.7619532148434,22.937496870597005,0.013161735190500536,0.008334119110266016,N/A,N/A
2025_05_28_22_02_26_13,-70514313.09934613,215613768189.68073,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_21,-67148960.4696901,215613768189.68073,0.3190323133477149,1.0148828907822984e-05,4.606047024887627e-09,1019.0833497896622,23.410466931699744,0.013194321896708591,0.009876944606762899,N/A,N/A
2025_05_28_22_02_26_9,-64454915.86034274,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.01083863836359635,N/A,N/A
2025_05_28_22_02_26_6,-64454915.86034274,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,849.1119684056025,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_29,-80793908.91756098,246392447783.98526,0.2786984831192514,1.0241413999723049e-05,4.904747572555911e-09,990.5240576874875,20.927541868610696,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_2,-64454915.86034274,177574980246.7269,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_7,-64454915.86034274,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.445460865373025,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_27,-80793908.91756098,246392447783.98526,0.2786984831192514,1.0241413999723049e-05,5.218468439300388e-09,990.5240576874875,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_20,-70514313.09934613,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.009876944606762899,N/A,N/A
2025_05_28_22_02_26_0,-64454915.86034274,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_17,-70514313.09934613,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,1019.0833497896622,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_15,-70514313.09934613,188198798679.0953,0.35949549138458003,1.0148828907822984e-05,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_4,-64454915.86034274,204272789292.2351,0.29985786182033225,9.799490939151337e-06,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_18,-70514313.09934613,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,23.410466931699744,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_1,-74577086.48069423,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_22,-80793908.91756098,246392447783.98526,0.2786984831192514,1.0241413999723049e-05,4.904747572555911e-09,990.5240576874875,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_25,-80793908.91756098,246392447783.98526,0.3414461269504083,1.0241413999723049e-05,4.904747572555911e-09,990.5240576874875,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
