E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,iteration3_avg_fuel_temp,iteration3_max_fuel_temp,iteration3_max_monolith_temp,iteration3_max_global_stress,iteration3_monolith_new_temperature,iteration3_Hcore_after,iteration3_wall2
-69563877.28759855,202093186237.4245,0.3206294658347919,1.052581403677822e-05,5.1666853736108125e-09,801.1413638707899,25.927755087088112,0.0124889642360221,914.57,935.73,926.1980315769796,41.21,903.122365936991,152.26800697628224,29.902044232636676,916.28,940.16,926.0519294367672,40.98,903.1514094053504,152.2681002418355,29.90205128088621,916.28,940.16,926.0519285586424,40.98,903.1513785384136,152.26810014271362,29.90205126962723
-69962006.4701071,231939846214.97372,0.2963787869778518,1.0817581928015803e-05,4.846116766695102e-09,846.5763912025367,22.04633347480229,0.0130606657183568,914.24,934.83,926.1980315769796,48.21,903.122365936991,152.25528441575943,29.89699727520402,916.42,940.54,926.0516197570666,47.94,903.151473695628,152.25537621361528,29.89700404230468,916.42,940.54,926.0516202570795,47.94,903.151432701717,152.25537608433092,29.89700402841977
-75943590.1643332,213122761666.1872,0.3262378578713062,1.0168205093230612e-05,5.225299889077531e-09,726.7495937560554,19.94026493770706,0.014987549657809,913.12,931.78,926.1980315769796,42.26,903.122365936991,152.22911556805502,29.897641083668358,915.13,937.04,926.0519625029452,42.03,903.1514454198864,152.22920792791317,29.897648118942104,915.13,937.04,926.0519735893994,42.03,903.1514164513072,152.22920783590487,29.89764810968537
-75624905.84492518,194286968710.49728,0.3134653305467019,1.198858811554303e-05,4.3184654353201635e-09,979.8502779219348,25.80089476391669,0.0148107354307292,914.45,935.4,926.1980315769796,38.58,903.122365936991,152.32791944148423,29.91317810003392,916.91,941.87,926.0521945331384,38.37,903.1513304599716,152.32801104667598,29.91318483802206,916.91,941.87,926.052230663211,38.37,903.1512831270572,152.3280108969768,29.913184822365366
-77030697.89134648,186795651160.3301,0.299429476656639,1.0861031611980782e-05,4.880487875369988e-09,961.631421080406,23.571941811406184,0.0135380569027339,913.46,932.72,926.1980315769796,33.8,903.122365936991,152.26677244840928,29.898973975606587,915.34,937.6,926.0516033097566,33.61,903.1514782268029,152.2668647664308,29.89898079964137,915.34,937.6,926.0516214646776,33.61,903.1514460000772,152.26686466423587,29.89898078858377
-64303539.49880722,226577408949.19775,0.3130866087515999,1.108601149629359e-05,5.716972642586695e-09,1003.8705916076352,24.869752768296443,0.0148605702870757,913.35,932.41,926.1980315769796,52.74,903.122365936991,152.4335845800377,29.91963065280349,915.36,937.68,926.0514509187036,52.45,903.151415981136,152.43368535836433,29.919638241661005,915.36,937.68,926.0514500456732,52.45,903.1513811295572,152.43368523745886,29.919638229028685
-71976885.79728949,194254970482.24255,0.3400935646770605,9.649516060806988e-06,5.664402417499914e-09,775.4997473859252,22.35842744780839,0.0139691774102239,913.76,933.52,926.1980315769796,38.28,903.122365936991,152.23041674699806,29.89822951241453,915.72,938.63,926.0520321952588,38.06,903.1514274872956,152.23051082053772,29.898236817070615,915.72,938.63,926.0520295497874,38.06,903.1513944065488,152.230510713453,29.898236804569496
-65278507.5357732,197061252825.00208,0.3092323455332009,9.076975437700684e-06,4.5376518508386285e-09,958.4056845693294,24.764073820327493,0.0153158636210109,913.43,932.62,926.1980315769796,34.85,903.122365936991,151.9692121600261,29.86318949413307,915.51,938.08,926.0520364244564,34.66,903.1515698802192,151.96929379021654,29.86319563103148,915.51,938.08,926.052053321092,34.66,903.1515400733372,151.96929370690043,29.86319562269724
-58228980.97061031,231167102122.71603,0.2882385042700572,1.0214676627749068e-05,4.693120234712744e-09,1041.6212773062332,22.35929379752545,0.0113986940168045,913.91,933.94,926.1980315769796,47.97,903.122365936991,152.1486736852224,29.88210630422302,915.79,938.83,926.0515649133288,47.71,903.1515476562356,152.14876166667645,29.882112765951696,915.79,938.83,926.0515564929428,47.71,903.1515145994658,152.1487615670112,29.882112754833265
-67127583.514982,204809418399.1547,0.3573167395511359,8.765089813987156e-06,4.965784432725097e-09,948.4000894013872,23.606028730777997,0.0137267322529143,913.32,932.33,926.1980315769796,39.35,903.122365936991,151.9967407196289,29.873338874721533,915.13,937.04,926.052644714154,39.13,903.1514587586807,151.99682461339873,29.873345470518164,915.13,937.04,926.0526533086212,39.13,903.1514337505296,151.99682454128325,29.873345462416086
-76375828.53638767,187909073402.22055,0.3124612746290512,1.113674987063393e-05,5.758969131012815e-09,963.6688577748984,26.540965979829856,0.0117938195371581,914.6,935.79,926.1980315769796,37.4,903.122365936991,152.44730282218978,29.921097280490653,916.3,940.2,926.0514303558018,37.19,903.1513853779968,152.44740410025136,29.921104900461184,916.3,940.2,926.0514452106802,37.19,903.151357493754,152.44740400293446,29.92110488991499
-68111807.84250914,226475872486.7083,0.3600488820776091,8.792223343392639e-06,5.7299502969749655e-09,1079.279067954276,26.429145274849617,0.0168176461152934,912.93,931.28,926.1980315769796,47.66,903.122365936991,152.1249640339614,29.887309466160065,915.08,936.92,926.0523180684928,47.4,903.1514492808918,152.1250550404023,29.887316694888057,915.08,936.92,926.052331752529,47.4,903.1514175990742,152.125054941264,29.887316682674275
-59613167.4599117,224675746639.9217,0.3289872858253549,8.930098027322575e-06,5.55943836899313e-09,956.8737540047606,23.84591237167608,0.0141389048804499,913.17,931.92,926.1980315769796,47.01,903.122365936991,152.1158508028615,29.881022928360995,914.97,936.6,926.0518592088072,46.74,903.151527273243,152.1159410854752,29.8810299131604,914.97,936.6,926.0518591609214,46.74,903.1515031412516,152.11594101076255,29.881029905688912
-70015470.6362436,198919246201.67612,0.2777537400398465,9.672393153715592e-06,5.4249745227856966e-09,847.6928890622937,23.98251185998907,0.013098104164687,914.46,935.42,926.198011339298,36.21,903.1223682008756,152.1944927192677,29.882107610705617,916.5,940.76,926.0509935435572,36.01,903.1516127748832,152.1945852734135,29.88211444086882,916.5,940.76,926.0510552537464,36.01,903.1515837268016,152.1945851814805,29.8821144331194
