case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
6,6,post_hi_95,near,203,127.6,-70117140.0652099,220268979216.8128,0.241199736919307,1.1387380836040935e-05,5.7148714025641265e-09,844.5253800160016,27.61009019534516,0.0138634005081425,0.01,1011.55,1095.47,1059.4,153.94,953.8066037743322,152.37537537007117,29.90899120950233,1.103888355286264,1000.12,1072.76,1035.12,127.6,950.51508188614,152.3645848553495,29.906494274993484
7,7,post_mean,near,411,127.92,-79732994.607952,189876638982.6044,0.319180218311518,9.544444421337168e-06,4.86626577818887e-09,874.11117186892,23.87160300273683,0.0129832265614865,0.01,1016.42,1104.03,1069.19,161.35,955.4422196592132,151.99978340107268,29.880976656305226,1.1047591508794818,1001.24,1075.35,1037.73,127.92,950.8064719804792,151.98716513247143,29.87793685980064
7,7,post_lo_5,near,411,127.92,-79732994.607952,169595035244.9215,0.319180218311518,7.978261695499459e-06,4.02747649197562e-09,874.11117186892,20.483331362163707,0.0129832265614865,0.01,1016.42,1104.03,1069.19,161.35,955.4422196592132,151.99978340107268,29.880976656305226,1.1047591508794818,1001.24,1075.35,1037.73,127.92,950.8064719804792,151.98716513247143,29.87793685980064
7,7,post_hi_95,near,411,127.92,-79732994.607952,212997576419.08624,0.319180218311518,1.1098199473488714e-05,5.702468946483191e-09,874.11117186892,27.3357155886618,0.0129832265614865,0.01,1016.42,1104.03,1069.19,161.35,955.4422196592132,151.99978340107268,29.880976656305226,1.1047591508794818,1001.24,1075.35,1037.73,127.92,950.8064719804792,151.98716513247143,29.87793685980064
8,8,post_mean,near,167,126.98,-58419387.5322001,170680906421.00824,0.3263285623734916,9.530319529013354e-06,4.800282257704679e-09,1021.4033347348364,23.945639788412404,0.0105384256339842,0.01,1007.09,1087.44,1050.25,147.38,952.413786736436,152.3245999393179,29.92672709344733,1.104000926314725,998.77,1070.58,1032.41,126.98,950.1694883680584,152.31766477959815,29.924884035974145
8,8,post_lo_5,near,167,126.98,-58419387.5322001,152069418761.8708,0.3263285623734916,8.131845690131578e-06,3.91913570022533e-09,1021.4033347348364,20.13615074684966,0.0105384256339842,0.01,1007.09,1087.44,1050.25,147.38,952.413786736436,152.3245999393179,29.92672709344733,1.104000926314725,998.77,1070.58,1032.41,126.98,950.1694883680584,152.31766477959815,29.924884035974145
8,8,post_hi_95,near,167,126.98,-58419387.5322001,192360786067.0265,0.3263285623734916,1.105175882763986e-05,5.694805160596273e-09,1021.4033347348364,27.41902467901846,0.0105384256339842,0.01,1007.09,1087.44,1050.25,147.38,952.413786736436,152.3245999393179,29.92672709344733,1.104000926314725,998.77,1070.58,1032.41,126.98,950.1694883680584,152.31766477959815,29.924884035974145
9,9,post_mean,near,372,123.51,-70129766.20213486,180750618201.7842,0.2977529166491258,9.440416459213414e-06,4.872575675646111e-09,1111.7793095839193,24.220553878122026,0.0101434197615796,0.01,1003.48,1080.81,1042.74,142.18,951.3482800575028,152.4471052749424,29.933338020732467,1.1030193051376949,996.43,1065.58,1027.07,123.51,949.6185324009256,152.4413880865093,29.93176486307628
9,9,post_lo_5,near,372,123.51,-70129766.20213486,158126261847.13678,0.2977529166491258,7.834208809385281e-06,3.9949744354993606e-09,1111.7793095839193,20.95612262260408,0.0101434197615796,0.01,1003.48,1080.81,1042.74,142.18,951.3482800575028,152.4471052749424,29.933338020732467,1.1030193051376949,996.43,1065.58,1027.07,123.51,949.6185324009256,152.4413880865093,29.93176486307628
9,9,post_hi_95,near,372,123.51,-70129766.20213486,205175668961.6887,0.2977529166491258,1.1266390402191966e-05,5.739828252767641e-09,1111.7793095839193,27.47845372941084,0.0101434197615796,0.01,1003.48,1080.81,1042.74,142.18,951.3482800575028,152.4471052749424,29.933338020732467,1.1030193051376949,996.43,1065.58,1027.07,123.51,949.6185324009256,152.4413880865093,29.93176486307628
