case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
12,12,post_hi_95,high,97,169.54,-66339036.658871934,235033708430.1865,0.2597925767613683,1.1819685396978923e-05,5.774119891844537e-09,963.0628210580649,27.53686586814891,0.0147630497653363,1.0,1012.89,1097.84,1062.12,216.93,954.236267090635,152.53208564482517,29.93565542815919,1.1032062348315432,998.22,1069.36,1031.16,169.54,950.0428489759184,152.5177750568584,29.932201189987275
13,13,post_mean,high,394,176.02,-65713531.40181972,204596422824.81125,0.3181819182490276,1.010033365620136e-05,4.980272460480651e-09,831.8546393344685,22.373167856371843,0.013163404534757,1.0,1028.89,1125.55,1094.06,229.43,959.7161409130496,152.23839633943328,29.911504384388174,1.104173392795757,1007.7,1087.08,1051.04,176.02,952.7107575200536,152.2169696691981,29.90658636430181
13,13,post_lo_5,high,394,176.02,-65713531.40181972,181269159676.94443,0.3181819182490276,8.505255135467756e-06,4.089422486478364e-09,831.8546393344685,18.81607007022089,0.013163404534757,1.0,1028.89,1125.55,1094.06,229.43,959.7161409130496,152.23839633943328,29.911504384388174,1.104173392795757,1007.7,1087.08,1051.04,176.02,952.7107575200536,152.2169696691981,29.90658636430181
13,13,post_hi_95,high,394,176.02,-65713531.40181972,229529560641.33572,0.3181819182490276,1.1667963684400297e-05,5.808062687063556e-09,831.8546393344685,26.174179455933658,0.013163404534757,1.0,1028.89,1125.55,1094.06,229.43,959.7161409130496,152.23839633943328,29.911504384388174,1.104173392795757,1007.7,1087.08,1051.04,176.02,952.7107575200536,152.2169696691981,29.90658636430181
14,14,post_mean,high,3,193.4,-61615762.45853707,203095098071.358,0.3290484526028027,1.001922561685204e-05,4.987153487171951e-09,1167.281858676719,23.321988462759244,0.0131183526312603,1.0,1012.13,1096.5,1060.58,237.78,953.9915345887432,152.4177950509941,29.93603393204168,1.1032826700602252,999.68,1072.17,1034.38,193.4,950.4085241622648,152.40596305590515,29.933077040687326
14,14,post_lo_5,high,3,193.4,-61615762.45853707,179805088275.23535,0.3290484526028027,8.555445836690305e-06,4.1445171828229635e-09,1167.281858676719,20.240384629597536,0.0131183526312603,1.0,1012.13,1096.5,1060.58,237.78,953.9915345887432,152.4177950509941,29.93603393204168,1.1032826700602252,999.68,1072.17,1034.38,193.4,950.4085241622648,152.40596305590515,29.933077040687326
14,14,post_hi_95,high,3,193.4,-61615762.45853707,227935196149.9608,0.3290484526028027,1.1618781171544722e-05,5.755650339881562e-09,1167.281858676719,26.40940013943805,0.0131183526312603,1.0,1012.13,1096.5,1060.58,237.78,953.9915345887432,152.4177950509941,29.93603393204168,1.1032826700602252,999.68,1072.17,1034.38,193.4,950.4085241622648,152.40596305590515,29.933077040687326
15,15,post_mean,high,146,163.37,-74718697.91089405,203587381700.68823,0.3171521155612431,1.01290300133475e-05,5.043999112956825e-09,894.7282130127417,23.21310208346859,0.0118920645925696,1.0,1006.75,1086.81,1049.54,190.71,952.3095702937014,152.39186779936475,29.92962425048319,1.1033939072545216,998.16,1069.34,1031.07,163.37,950.0199305747536,152.3843898411841,29.927684054300897
15,15,post_lo_5,high,146,163.37,-74718697.91089405,179343948842.85342,0.3171521155612431,8.375198708304773e-06,4.332474124383179e-09,894.7282130127417,19.587673959049045,0.0118920645925696,1.0,1006.75,1086.81,1049.54,190.71,952.3095702937014,152.39186779936475,29.92962425048319,1.1033939072545216,998.16,1069.34,1031.07,163.37,950.0199305747536,152.3843898411841,29.927684054300897
15,15,post_hi_95,high,146,163.37,-74718697.91089405,227483725192.4601,0.3171521155612431,1.1764671793919989e-05,5.8235548509586785e-09,894.7282130127417,26.6938837375362,0.0118920645925696,1.0,1006.75,1086.81,1049.54,190.71,952.3095702937014,152.39186779936475,29.92962425048319,1.1033939072545216,998.16,1069.34,1031.07,163.37,950.0199305747536,152.3843898411841,29.927684054300897
16,16,post_mean,high,330,142.79,-68292962.94448261,188860668747.145,0.330282986298045,9.681946268765982e-06,4.939968385423866e-09,997.54174644944,21.6857309632515,0.0117404472927179,1.0,1017.99,1106.77,1072.35,175.66,955.9662429332844,152.06288998355848,29.89115918897265,1.1044764607669897,1003.63,1079.84,1042.79,142.79,951.4802601767468,152.05027137246702,29.88813505669613
16,16,post_lo_5,high,330,142.79,-68292962.94448261,167243656145.90106,0.330282986298045,8.088104010620254e-06,4.058354263271787e-09,997.54174644944,17.83924941890309,0.0117404472927179,1.0,1017.99,1106.77,1072.35,175.66,955.9662429332844,152.06288998355848,29.89115918897265,1.1044764607669897,1003.63,1079.84,1042.79,142.79,951.4802601767468,152.05027137246702,29.88813505669613
16,16,post_hi_95,high,330,142.79,-68292962.94448261,216435030122.8407,0.330282986298045,1.1448750948942255e-05,5.76450131754373e-09,997.54174644944,25.93765567978843,0.0117404472927179,1.0,1017.99,1106.77,1072.35,175.66,955.9662429332844,152.06288998355848,29.89115918897265,1.1044764607669897,1003.63,1079.84,1042.79,142.79,951.4802601767468,152.05027137246702,29.88813505669613
17,17,post_mean,high,265,197.64,-64641998.14874767,215369485621.8624,0.2722274019972425,1.0160170656970866e-05,5.046440349834286e-09,969.4200309796648,22.87794802465241,0.0149686230783145,1.0,1029.17,1126.04,1094.63,275.91,959.817675006772,152.4533003333959,29.927139457060704,1.1031774030231718,1003.86,1079.88,1043.03,197.64,951.5737122062508,152.42548540092747,29.920964087968205
17,17,post_lo_5,high,265,197.64,-64641998.14874767,192252217661.6289,0.2722274019972425,8.524640182969839e-06,4.224275763478601e-09,969.4200309796648,19.696478033114392,0.0149686230783145,1.0,1029.17,1126.04,1094.63,275.91,959.817675006772,152.4533003333959,29.927139457060704,1.1031774030231718,1003.86,1079.88,1043.03,197.64,951.5737122062508,152.42548540092747,29.920964087968205
17,17,post_hi_95,high,265,197.64,-64641998.14874767,237932464460.2802,0.2722274019972425,1.1728295305969814e-05,5.855931016123767e-09,969.4200309796648,26.34207412232747,0.0149686230783145,1.0,1029.17,1126.04,1094.63,275.91,959.817675006772,152.4533003333959,29.927139457060704,1.1031774030231718,1003.86,1079.88,1043.03,197.64,951.5737122062508,152.42548540092747,29.920964087968205
