case_idx,row_idx,category,param,prior_variant,true_value,post_mean,post_std,post_p5,post_p95,rel_bias,in_90ci_true,mean_accept_rate,kl_vs_canonical,mean_shift_over_canonical_std
4,97,high,E_intercept,canonical,207492295973.9905,211175011007.32486,13511874554.744415,189301540227.6993,233239989610.24896,0.01774868322723647,True,0.5794999999999999,0.0,0.0
4,97,high,alpha_base,canonical,1.1009010794425196e-05,1.0360024700838552e-05,9.595089315814405e-07,8.771730285311486e-06,1.1915368099315337e-05,-0.05895044574897515,True,0.5794999999999999,0.0,0.0
4,97,high,alpha_slope,canonical,5.326848700580527e-09,5.08669780165277e-09,4.610164939482631e-10,4.310911976795279e-09,5.844165368552228e-09,-0.045083108687052696,True,0.5794999999999999,0.0,0.0
4,97,high,SS316_k_ref,canonical,23.655740689515227,23.479583550587982,2.1697772749808486,19.947907980694154,26.93600898091157,-0.007446697241034674,True,0.5794999999999999,0.0,0.0
4,97,high,E_intercept,diffuse,207492295973.9905,216058267802.24524,21170679193.202393,178942527012.37598,248977420992.6339,0.04128332470391329,True,0.5591666666666666,0.17932273621244654,0.36140483506825666
4,97,high,alpha_base,diffuse,1.1009010794425196e-05,1.0500545804226465e-05,1.5801164211575228e-06,7.799582009912028e-06,1.293378899820771e-05,-0.04618625594010771,True,0.5591666666666666,0.18715637036572952,0.14645106341668973
4,97,high,alpha_slope,diffuse,5.326848700580527e-09,5.12686775295683e-09,7.897065401638419e-10,3.795469107975632e-09,6.324071674609657e-09,-0.03754207390983392,True,0.5591666666666666,0.20992204418053584,0.08713343628995722
4,97,high,SS316_k_ref,diffuse,23.655740689515227,24.79099189729293,2.940391215015581,19.398980664587683,28.979965296179866,0.047990516242041516,True,0.5591666666666666,0.17563909845329417,0.6043976779674415
4,97,high,E_intercept,tight,207492295973.9905,207349866405.3681,7789717025.603986,194930170752.78607,220425954729.3475,-0.0006864330453997182,True,0.383,0.574181982544377,-0.2830950351454851
4,97,high,alpha_base,tight,1.1009010794425196e-05,1.0267838933509769e-05,4.73205174795004e-07,9.474660347878395e-06,1.105176434271893e-05,-0.06732411065404223,True,0.383,0.8678274036382658,-0.09607598667877375
4,97,high,alpha_slope,tight,5.326848700580527e-09,5.0565835685302724e-09,2.5928999527504507e-10,4.6428133398078956e-09,5.491702653352662e-09,-0.050736401058434556,True,0.383,0.5118920043644457,-0.06532137899143534
4,97,high,SS316_k_ref,tight,23.655740689515227,23.237538003231364,1.075830909744251,21.54017716641273,24.96569365469062,-0.01767869760549158,True,0.383,0.8575967583248505,-0.11155317651612619
4,97,high,E_intercept,flat,207492295973.9905,224264331245.00684,24026753394.011047,179256389181.64178,255995578188.55585,0.08083208676392847,True,0.7958333333333334,0.3821210622667255,0.9687271876784803
4,97,high,alpha_base,flat,1.1009010794425196e-05,1.0148637267323418e-05,1.873042561955395e-06,7.134745449119474e-06,1.3081081992825023e-05,-0.07815175615391884,True,0.7958333333333334,0.3064780002513028,-0.22030793727655046
4,97,high,alpha_slope,flat,5.326848700580527e-09,5.15124758338137e-09,8.444745325207532e-10,3.6925802248691038e-09,6.402579833943548e-09,-0.032965290938340226,True,0.7958333333333334,0.2572170691030421,0.14001620891213643
4,97,high,SS316_k_ref,flat,23.655740689515227,25.485621663321385,3.2711576734392986,18.358766485963656,29.270330326307228,0.07735462600066478,True,0.7958333333333334,0.3185445076010406,0.9245364194124991
4,97,high,E_intercept,shift_pos,207492295973.9905,213524249024.67072,14005382093.40887,190351555653.21606,236954866408.46323,0.029070732589687672,True,0.5871666666666666,0.01532468325744274,0.17386470010713423
4,97,high,alpha_base,shift_pos,1.1009010794425196e-05,1.0682292951136843e-05,9.480658340111495e-07,9.145887630804668e-06,1.2306504489360326e-05,-0.029677311557710372,True,0.5871666666666666,0.05791851959592409,0.33586790043437753
4,97,high,alpha_slope,shift_pos,5.326848700580527e-09,5.256088462894281e-09,4.988084769155292e-10,4.455674711864606e-09,6.109656456016767e-09,-0.013283695795327267,True,0.5871666666666666,0.06355488384979935,0.36742863534188624
4,97,high,SS316_k_ref,shift_pos,23.655740689515227,24.860409151372973,1.897877835831576,21.799865713714443,28.139087034435242,0.050924994388008474,True,0.5871666666666666,0.2843131466147105,0.6363904796621022
4,97,high,E_intercept,shift_neg,207492295973.9905,209277679121.1298,12110919714.80802,189925610459.8689,228457780956.70953,0.008604575600065088,True,0.5763333333333334,0.025177821438942316,-0.1404195900804052
4,97,high,alpha_base,shift_neg,1.1009010794425196e-05,9.963435225616996e-06,9.090309442208023e-07,8.441156285174351e-06,1.1425798716720912e-05,-0.09497452480813846,True,0.5763333333333334,0.09819761810202099,-0.41332546489995253
4,97,high,alpha_slope,shift_neg,5.326848700580527e-09,4.835251924331713e-09,5.107539039029191e-10,3.979608796179595e-09,5.687069301137269e-09,-0.09228660393437478,True,0.5763333333333334,0.13099645702382878,-0.5454162283167137
4,97,high,SS316_k_ref,shift_neg,23.655740689515227,21.783254153116594,2.023814701507176,18.62030824281999,25.163243217457886,-0.07915569252196622,True,0.5763333333333334,0.35635933023078703,-0.7817988588189819
5,394,high,E_intercept,canonical,195970956160.16736,210489602081.50922,13539507182.432568,188579686876.99176,231992463752.86514,0.07408570231945874,True,0.6003333333333334,0.0,0.0
5,394,high,alpha_base,canonical,9.1471678769906e-06,1.0202959101051817e-05,1.0141424605687477e-06,8.553361689233806e-06,1.1886974531275821e-05,0.11542274486040925,True,0.6003333333333334,0.0,0.0
5,394,high,alpha_slope,canonical,5.081977206840172e-09,5.0123931112635175e-09,5.174848968588929e-10,4.198622039487784e-09,5.883724390528512e-09,-0.013692327364828958,True,0.6003333333333334,0.0,0.0
5,394,high,SS316_k_ref,canonical,19.40223379216592,22.7281317964592,2.1520917410881606,19.176859917634744,26.21956805271282,0.1714183036819288,True,0.6003333333333334,0.0,0.0
5,394,high,E_intercept,diffuse,195970956160.16736,211266815571.70193,22047898155.020527,175756880421.33536,247569561880.9223,0.07805166495709318,True,0.5591666666666666,0.17678314993463862,0.05740338106258022
5,394,high,alpha_base,diffuse,9.1471678769906e-06,1.0308601861647387e-05,1.6526272928070345e-06,7.3836547721507185e-06,1.29467600094568e-05,0.12697197649322003,True,0.5591666666666666,0.17865210711186974,0.1041695468862671
5,394,high,alpha_slope,diffuse,5.081977206840172e-09,5.107808656180074e-09,7.896857031074989e-10,3.766100410735828e-09,6.357575383465854e-09,0.005082952616382044,True,0.5591666666666666,0.14466653783070704,0.18438324576373996
5,394,high,SS316_k_ref,diffuse,19.40223379216592,22.57472733741787,3.419287605723844,17.157947644144414,28.226256608362917,0.16351176772918352,True,0.5591666666666666,0.16206909428201688,-0.07128156114932335
5,394,high,E_intercept,tight,195970956160.16736,207002772607.24567,8140060306.0756,194067557920.73434,220738116771.89304,0.056293119466447814,True,0.39783333333333337,0.46624245142436227,-0.25753001400137304
5,394,high,alpha_base,tight,9.1471678769906e-06,1.0213023121679103e-05,4.820322124589448e-07,9.423784751909132e-06,1.1007565158866601e-05,0.11652297837122111,False,0.39783333333333337,0.9696055231086507,0.009923675438697979
5,394,high,alpha_slope,tight,5.081977206840172e-09,5.014942549083385e-09,2.5418776175917217e-10,4.6181612639083344e-09,5.448470776799949e-09,-0.013190664780345862,True,0.39783333333333337,0.8614596893138993,0.004926593675182757
5,394,high,SS316_k_ref,tight,19.40223379216592,22.764120927075634,1.1022006747953101,20.95327413738839,24.607089647138963,0.1732731999274821,False,0.39783333333333337,0.7376093073576331,0.01672286080064531
5,394,high,E_intercept,flat,195970956160.16736,213605933693.8051,28253758338.588024,162869685606.0759,254887464715.86847,0.08998770980749138,True,0.8041666666666667,0.3565189496161434,0.23016580812773751
